,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
166,167,Antonio McDyess,SAS,73,19.0,5.3,2.3,4.7,49.1,0.0,0.0,0.0,0.7,1.1,67.5,1.7,3.7,5.4,1.2,0.5,0.5,1.0,9.2
167,168,Ryan Hollins,CLE,70,16.9,5.3,1.9,3.1,59.8,0.0,0.0,0.0,1.6,2.3,68.1,1.0,1.7,2.7,0.4,0.3,0.6,1.0,6.3
168,169,DeShawn Stevenson,DAL,72,16.1,5.3,1.8,4.6,38.8,1.3,3.5,37.8,0.5,0.6,76.7,0.3,1.2,1.5,1.1,0.3,0.1,0.6,4.7
169,170,Jeff Teague,ATL,70,13.8,5.2,1.9,4.3,43.8,0.3,0.7,37.5,1.1,1.4,79.4,0.2,1.3,1.5,2.0,0.6,0.4,0.9,5.9
170,171,Thabo Sefolosha,OKC,79,25.9,5.1,2.0,4.2,47.1,0.4,1.3,27.5,0.7,1.0,74.7,0.8,3.6,4.4,1.4,1.2,0.5,0.7,9.4
171,172,Vladimir Radmanovic,GSW,74,15.8,5.1,1.9,4.3,43.1,0.9,2.3,40.5,0.4,0.5,88.2,0.9,2.0,2.9,1.1,0.6,0.6,0.8,6.9
172,173,Zydrunas Ilgauskas,MIA,72,15.9,5.0,2.3,4.4,50.8,0.0,0.0,0.0,0.5,0.6,78.3,1.5,2.5,4.0,0.4,0.3,0.8,0.7,7.4
173,174,C.J. Watson,CHI,82,13.3,4.9,1.8,4.8,37.1,0.5,1.4,39.3,0.8,1.1,74.2,0.2,1.0,1.1,2.3,0.7,0.1,0.9,5.0
174,175,Nick Collison,OKC,71,21.5,4.6,1.9,3.4,56.6,0.0,0.0,0.0,0.8,1.0,75.3,1.7,2.8,4.5,1.0,0.6,0.4,0.8,8.6
175,176,Brendan Haywood,DAL,72,18.5,4.4,1.8,3.1,57.4,0.0,0.0,0.0,0.9,2.5,36.2,1.8,3.4,5.2,0.3,0.2,1.0,0.7,7.6
176,177,Zaza Pachulia,ATL,79,15.7,4.4,1.4,2.9,46.1,0.0,0.0,0.0,1.7,2.3,75.4,1.5,2.7,4.2,0.7,0.4,0.3,0.9,7.1
177,178,Keith Bogans,CHI,82,17.8,4.4,1.5,3.7,40.4,1.1,2.9,38.0,0.3,0.4,65.6,0.2,1.6,1.8,1.2,0.5,0.1,0.5,5.1
178,179,Jason Smith,NOH,77,14.3,4.3,1.8,4.0,44.3,0.0,0.0,0.0,0.8,0.9,84.3,1.2,2.0,3.1,0.5,0.3,0.4,0.7,5.6
179,180,Earl Watson,UTA,80,19.6,4.3,1.6,3.8,41.0,0.5,1.3,33.6,0.7,1.0,67.1,0.7,1.6,2.3,3.5,0.8,0.2,1.5,7.0
180,181,Eric Maynor,OKC,82,14.6,4.2,1.6,4.1,40.2,0.5,1.2,38.5,0.5,0.7,72.9,0.3,1.2,1.5,2.9,0.4,0.1,0.9,5.6
181,182,Steve Blake,LAL,79,20.0,4.0,1.4,3.9,35.9,0.9,2.4,37.8,0.3,0.4,86.7,0.2,1.7,2.0,2.2,0.5,0.0,0.9,5.3
182,183,Greivis Vasquez,MEM,70,12.3,3.6,1.4,3.3,40.8,0.4,1.2,29.1,0.5,0.6,77.3,0.2,0.9,1.0,2.2,0.3,0.1,1.0,4.0
183,184,Johan Petro,NJN,77,11.6,3.5,1.7,3.8,44.5,0.0,0.1,0.0,0.2,0.4,53.6,0.8,1.9,2.8,0.6,0.4,0.4,0.6,4.9
184,185,Omer Asik,CHI,82,12.1,2.8,1.0,1.7,55.3,0.0,0.0,0.0,0.9,1.8,50.3,1.4,2.4,3.7,0.4,0.2,0.7,0.8,5.4
185,186,Joel Anthony,MIA,75,19.5,2.0,0.7,1.3,53.5,0.0,0.0,0.0,0.6,1.0,64.4,1.4,2.2,3.5,0.3,0.1,1.2,0.5,5.8
