,offrtg,defrtg,netrtg,ast/to,oreb%,dreb%,to_ratio,ts%,pace,pie,poss,dreb,stl%,%blk,def_ws,fbps,pitp,blk,pf,pfd,%fga_2pt,%pts_2pt_mr,%pts_3pt,%pts_fbps,%pts_ft,%pts_offto,2fgm_%uast,3fgm_%uast,fg%,3p%,ft%,%3pm,%fta,%reb,%ast,%tov,%pf,%pfd,%pts,weight,height,age,obbs,+/-
def_ws,0.3277022559140343,-0.39707025029034865,0.540290211681953,0.1906032715552776,-0.08539584028633203,0.06308085055418343,-0.13043748249096235,0.22909487127052391,-0.19535933623759275,0.296520171075319,0.5990396243243656,0.533762788393604,0.12798581736881426,-0.02037928465445629,1.0,0.4407851279650053,0.4645110678276438,0.3230587469241821,0.45347274716695546,0.3818322138098808,-0.010623808040018843,0.047765316895849584,0.03927962111955946,0.07257058607953941,-0.015255573793458162,0.06557717796759706,0.10665530299947447,0.12036219271449165,0.1521310893876204,0.17828027333361923,0.23457951435160182,0.12295396856727384,0.19218636294610258,-0.018190887672576983,0.18165068067646464,0.1365520465824351,-0.267709378569762,0.08743532882260797,0.2688213753104081,-0.025270079115402584,-0.04490578831615713,0.13280700964825057,0.32764327213057787,0.6733586159709566
fbps,0.318275121608231,0.0916289883450779,0.18612076152623108,0.22181072568644145,-0.3047811012504363,-0.2025078388679019,-0.20871333549968352,0.23667402654907221,-0.042686034947111165,0.2887235283315848,0.6398092750113022,0.33518198463278387,0.2190599772415488,-0.2831098913592824,0.4407851279650053,1.0,0.5643187041562943,0.023232094686331358,0.31999904560316805,0.49046920401385313,-0.11594723645824717,0.04319534425660645,0.11503805086923484,0.5163331963743454,0.036445239664390006,0.14657620959875492,0.3065283681254529,0.3459815359558748,0.08356092481089981,0.3372214110458619,0.31530200662742747,0.3552937522721625,0.34698675022975733,-0.2760314973691126,0.35407896847558396,0.28814048517490737,-0.4390099122238602,0.17612437536074324,0.5548735415465142,-0.3123430294572529,-0.31511014636791856,-0.09597258916485113,0.05551775665476035,0.22591977628073515
pf,0.30660356266196237,0.07938350635977615,0.18559290484586224,-0.07949824529296995,0.23101887174680874,0.26697322262195905,0.04073838975878792,0.27920260282588183,-0.24116498379284146,0.20920266291128203,0.6170740215330701,0.6698276296289231,0.03428360596742681,0.25021673980438564,0.45347274716695546,0.31999904560316805,0.6027413157778408,0.5198704570118338,1.0,0.4127545577712837,0.25094387971277615,0.019926226255146156,-0.2079068496613659,-0.11151967797888496,0.0497495307858381,-0.05653405582675476,-0.009198299753682866,0.002195452694932094,0.3147916387523495,-0.02498565777084313,0.18703899528535115,-0.108025547442718,0.29004277554107694,0.27263472616114837,-0.016518718032159593,0.17309448616497078,0.17369333279911353,0.12553517877643597,0.2521841963439255,0.27829686010655713,0.23531870930377513,0.02597807634693115,-0.027352671526507638,0.12720603044745768
ft%,0.29867496127176063,0.09095183049350873,0.17115146046991783,0.25659336413570166,-0.2650283689095945,-0.1758793496597953,-0.21330407988265723,0.337513664241119,-0.12792435569970856,0.2338583237020065,0.3418726234556259,0.14147904500032246,0.0991547808276491,-0.22185440398864095,0.23457951435160182,0.31530200662742747,0.15049312388845024,-0.05626093220966062,0.18703899528535115,0.21524628352198358,-0.19585144178491923,0.12036685327441761,0.22807789855001748,0.1094748593484749,0.045998776572219374,0.03311949935489425,0.21361784141669293,0.2001653229024724,0.039373209347148365,0.3469135132486859,1.0,0.3254088910623546,0.19267032488245786,-0.24150558531851662,0.21024297794790844,0.08626305052496108,-0.2799599136263054,0.09783795395498271,0.3436471019989704,-0.2246220712692205,-0.228148303807599,0.08604515622348088,0.033962480831120315,0.12524254942264867
3p%,0.27342289147281934,0.11663737489439012,0.13303033687669172,0.3551599680860284,-0.517510075742152,-0.3352437177245373,-0.2848481620996569,0.23021498165424445,0.05154265139251815,0.12212828368304478,0.260030240461984,-0.014134408498332413,0.14872082373439083,-0.41887858061326605,0.17828027333361923,0.3372214110458619,-0.011112391342349363,-0.23477138717524096,-0.02498565777084313,0.11719533648574385,-0.5765917215217002,-0.00040285120259552404,0.6444637404363094,0.19994473205099372,-0.2540795429950925,0.06472145473669588,0.23964910300841388,0.29985745952386134,-0.10170456373778167,1.0,0.3469135132486859,0.679547986343704,-0.10306529602041627,-0.452346094359153,0.27529364889946645,0.02989634015403299,-0.396356505221295,-0.030001867669203233,0.2546625609769713,-0.4148363326448746,-0.390917539193824,0.024600268933178935,0.07589777334115724,0.12625596724144666
ast/to,0.2452505848210856,0.06082892813957326,0.15038205599569482,1.0,-0.4621853930276379,-0.35138893283113815,-0.3300033800243119,0.021897274944817108,-0.00917652029629867,0.1175419694671276,0.19912086128702614,-0.060858171048730224,0.24977075531354836,-0.3980018521924931,0.1906032715552776,0.22181072568644145,-0.03258585129572794,-0.2421405062843285,-0.07949824529296995,0.07918912614379399,-0.335936352925241,0.08205633699739787,0.35384248312494027,0.16573389913143705,-0.1772732277648195,0.05170322857977325,0.37592692106357606,0.3207152173927556,-0.15434455862051186,0.3551599680860284,0.25659336413570166,0.30152161043938097,-0.15644422638817584,-0.4433691388794819,0.6444122307770772,0.0037869979348839097,-0.38559564241627736,-0.057451530793399305,-0.028814898670280257,-0.49730046498939323,-0.5466008435447485,0.15955219002027748,0.07597225312827008,0.16502950667668212
%pts,0.23373187063825687,0.09073011976449286,0.12004187663511699,-0.028814898670280257,-0.0674949290942411,0.03701331446163268,-0.2387147744413983,0.43934924790159063,-0.043025800014811044,0.46588018787639995,0.4239553237687071,0.3765573335425161,0.024008445844549597,-0.06562452379738315,0.2688213753104081,0.5548735415465142,0.6186371942257857,0.14693559698862843,0.2521841963439255,0.5238761815082502,0.04401911168398116,0.12113366815245741,-0.0031472090553355497,0.05345365539217928,-0.002712866843234184,-0.02288847589916415,0.2580281132709894,0.2893799690692476,0.31490926241352546,0.2546625609769713,0.3436471019989704,0.30020773133490875,0.6325488741165274,-0.010735677126286394,0.18251668484164488,0.3908872239974246,-0.25588329766810886,0.3893645900601272,1.0,-0.03024126527396362,-0.0573176442579729,-0.10896399029694477,0.017133318103963513,0.13812391121471881
%pts_3pt,0.20466143407144197,0.13077119360950515,0.06875605266994306,0.35384248312494027,-0.6041506904163444,-0.39829999429835633,-0.3053468542777369,0.09493829652458353,0.14946880450001718,-0.053108767178264904,0.04112410956504887,-0.20885233714069215,0.08843576744746894,-0.44209649246476385,0.03927962111955946,0.11503805086923484,-0.32217897968385895,-0.34060649954307115,-0.2079068496613659,-0.0887385670104909,-0.9420843735251004,-0.20727938888549277,1.0,0.12856586521139146,-0.39871652164818794,0.045005763243395606,0.14943132156006717,0.14665363664840114,-0.32251255951388075,0.6444637404363094,0.22807789855001748,0.8041630834001022,-0.37690534365533895,-0.5286058953578209,0.1382262607159946,-0.16301043891603462,-0.3438621193758089,-0.17106395704686528,-0.0031472090553355497,-0.4294425039189895,-0.4050374596970858,0.08608707607087031,0.0759598385514936,0.07024214400496981
obbs,0.2035338856457128,-0.14464407752047578,0.2632935080258491,0.07597225312827008,0.0057818611444097525,0.0013511997194514042,-0.04618560073634204,0.12356395060813147,-0.004035933875347538,0.0656223802256719,0.09978561246073403,0.054087353177110165,-0.02511666507716209,0.0007489949132960243,0.32764327213057787,0.05551775665476035,0.037592956515495664,0.043846374973959566,-0.027352671526507638,0.026891629218981715,-0.07205214249375877,-0.04665330720540301,0.0759598385514936,0.0021808901704845423,-0.02713851541109276,-0.0061478234655734845,-0.051223774024264535,0.014374642538935065,0.08548559011299359,0.07589777334115724,0.033962480831120315,0.02628736826564506,0.013268041722013965,-0.0017168818720968663,-0.0006095743274892492,-0.005447636471287982,0.008311181980743824,0.007345626048579346,0.017133318103963513,0.01240235391730336,-0.00566409455174145,0.16505958452212188,1.0,0.6048453252374926
%pfd,0.19198897109161345,0.169625723047515,0.031234453741140325,-0.057451530793399305,0.12131768283020057,0.2107927813935283,0.014489942684454991,0.23727079408063234,0.1156515939493121,0.21217110676900305,0.09245668609551756,0.25919656905730587,0.021013843373024598,0.1301361909345956,0.08743532882260797,0.17612437536074324,0.3964125816121152,0.14616124860757268,0.12553517877643597,0.7812705971753504,0.14151756747528343,-0.21050423794963485,-0.17106395704686528,-0.04848943382345411,0.2574438731025565,-0.06797517999645365,0.15255206624886972,0.14183272856421578,0.22593089190963972,-0.030001867669203233,0.09783795395498271,-0.12457567605263865,0.6197055683622849,0.19015185003106908,0.09821048907638473,0.2876921036877579,0.05207377767371675,1.0,0.3893645900601272,0.10346571001622751,0.07421155847946984,-0.11129970070518069,0.007345626048579346,0.05992761629953677
