,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
1997,Omar Cook,POR,22,185.42,190.0,"St. John's, N.Y.",USA,2001,2,31,17.0,0.8,0.4,1.4,-10.5,2.2,2.4,11.8,25.9,28.6,'03-04
1998,Othella Harrington,NYK,30,205.74,235.0,Georgetown,USA,1996,2,30,56.0,4.6,3.2,0.5,-4.0,7.0,14.3,15.9,54.6,5.9,'03-04
1999,P.J. Brown,NOH,34,210.82,239.0,Louisiana Tech,USA,1992,2,29,80.0,10.5,8.6,1.9,2.0,8.5,16.6,14.7,52.7,9.7,'03-04
2000,Pat Garrity,ORL,27,205.74,238.0,Notre Dame,USA,1998,1,19,2.0,1.0,0.0,0.5,-41.8,0.0,0.0,6.8,33.3,8.3,'03-04
2001,Pau Gasol,MEM,23,213.36,240.0,None,Spain,2001,1,3,78.0,17.7,7.7,2.5,2.1,8.5,16.3,26.4,54.2,14.3,'03-04
2002,Paul Grant,UTA,30,213.36,245.0,Wisconsin,USA,1997,1,20,10.0,2.5,1.7,0.3,-9.3,7.5,11.4,16.3,47.1,6.3,'03-04
2003,Paul Pierce,BOS,26,198.12,230.0,Kansas,USA,1998,1,10,80.0,23.0,6.5,5.1,-1.2,2.3,14.4,29.9,51.7,24.9,'03-04
2004,Paul Shirley,CHI,26,208.28,230.0,Iowa State,USA,Undrafted,Undrafted,Undrafted,7.0,3.0,2.3,0.6,-15.8,9.3,10.1,17.0,43.2,9.8,'03-04
2005,Peja Stojakovic,SAC,27,208.28,229.0,None,Serbia,1996,1,14,81.0,24.2,6.3,2.1,6.7,2.9,12.6,23.4,62.4,9.0,'03-04
2006,Popeye Jones,GSW,34,203.2,265.0,Murray State,USA,1992,2,41,5.0,0.0,0.2,0.0,-39.9,9.1,0.0,8.0,0.0,0.0,'03-04
2007,Predrag Drobnjak,LAC,28,210.82,272.0,None,Serbia,1997,2,48,61.0,6.3,3.2,0.6,-12.3,5.4,15.7,21.4,45.8,7.8,'03-04
2008,Primoz Brezec,IND,24,215.9,252.0,None,Slovenia,2000,1,27,18.0,1.6,0.8,0.2,-11.9,7.9,15.4,21.7,48.9,10.0,'03-04
2009,Quentin Richardson,LAC,24,195.58,238.0,DePaul,USA,2000,1,18,65.0,17.2,6.4,2.1,-3.9,6.0,11.7,23.6,48.4,10.8,'03-04
2010,Quincy Lewis,MIN,27,200.66,215.0,Minnesota,USA,1999,1,19,14.0,1.1,0.5,0.1,-26.0,1.6,8.7,16.4,40.0,6.7,'03-04
2011,Qyntel Woods,POR,23,203.2,221.0,Northeast Mississippi CC,USA,2002,1,21,62.0,3.6,2.2,0.7,-6.3,6.9,14.5,21.2,42.5,12.1,'03-04
