,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
5824,Brian Roberts,NOH,27,185.42,180.0,University of Dayton,USA,Undrafted,Undrafted,Undrafted,78.0,7.1,1.2,2.8,-8.2,1.3,6.8,21.2,50.9,30.1,'12-13
5825,Brook Lopez,BKN,25,213.36,265.0,Stanford,USA,2008,1,10,74.0,19.4,6.9,0.9,6.1,9.6,13.8,28.2,56.7,6.1,'12-13
5826,Byron Mullens,CHA,24,213.36,275.0,Ohio State,USA,2009,1,24,53.0,10.6,6.4,1.5,-14.9,4.6,19.6,21.0,46.5,10.2,'12-13
5827,C.J. Watson,BKN,29,187.96,175.0,Tennessee,USA,Undrafted,Undrafted,Undrafted,80.0,6.8,1.8,2.0,0.6,2.5,7.5,16.8,54.4,17.8,'12-13
5828,CJ Miles,CLE,26,198.12,222.0,No College,USA,2005,2,34,65.0,11.2,2.7,1.0,-3.3,1.7,11.4,23.4,55.1,8.3,'12-13
5829,Carl Landry,GSW,29,205.74,248.0,Purdue,USA,2007,2,31,81.0,10.8,6.0,0.8,-1.0,9.8,15.8,19.5,60.5,5.6,'12-13
5830,Carlos Boozer,CHI,31,205.74,266.0,Duke,USA,2002,2,34,79.0,16.2,9.8,2.3,-1.5,6.9,24.4,25.5,51.0,13.2,'12-13
5831,Carlos Delfino,HOU,30,198.12,230.0,None,Argentina,2003,1,25,67.0,10.6,3.3,2.0,6.8,1.0,11.8,18.1,54.9,12.5,'12-13
5832,Carmelo Anthony,NYK,29,203.2,230.0,Syracuse,USA,2003,1,3,67.0,28.7,6.9,2.6,6.2,5.5,14.2,34.9,56.0,13.7,'12-13
5833,Caron Butler,LAC,33,200.66,228.0,Connecticut,USA,2002,1,10,78.0,10.4,2.9,1.0,6.8,2.3,10.5,19.9,53.5,6.3,'12-13
5834,Cartier Martin,WAS,28,200.66,220.0,Kansas State,USA,Undrafted,Undrafted,Undrafted,41.0,6.6,2.4,0.5,-2.9,1.5,12.5,19.1,51.1,4.9,'12-13
5835,Chandler Parsons,HOU,24,205.74,227.0,Florida,USA,2011,2,38,76.0,15.5,5.3,3.5,2.9,2.9,11.7,18.2,58.4,15.7,'12-13
5836,Charles Jenkins,PHI,24,190.5,215.0,Hofstra,USA,2011,2,44,59.0,1.9,0.5,0.7,-2.6,1.7,5.0,14.5,42.5,16.7,'12-13
5837,Charlie Villanueva,DET,28,210.82,232.0,Connecticut,USA,2005,1,7,69.0,6.8,3.5,0.8,-4.5,4.3,18.1,21.2,48.1,8.2,'12-13
5838,Chase Budinger,MIN,25,200.66,218.0,Arizona,USA,2009,2,44,23.0,9.4,3.1,1.1,2.2,2.9,11.4,20.3,51.6,8.0,'12-13
5839,Chauncey Billups,LAC,36,190.5,210.0,Colorado,USA,1997,1,3,22.0,8.4,1.5,2.2,5.2,0.5,8.5,19.4,60.1,16.8,'12-13
5840,Chris Andersen,MIA,34,208.28,228.0,Blinn J.C.,USA,Undrafted,Undrafted,Undrafted,42.0,4.9,4.1,0.4,7.2,10.2,18.0,14.0,63.1,4.5,'12-13
5841,Chris Bosh,MIA,29,210.82,235.0,Georgia Tech,USA,2003,1,4,74.0,16.6,6.8,1.7,9.8,6.4,15.3,22.5,59.2,8.1,'12-13
5842,Chris Copeland,NYK,29,203.2,225.0,Colorado,USA,Undrafted,Undrafted,Undrafted,56.0,8.7,2.1,0.5,4.4,4.1,10.4,25.0,58.3,5.5,'12-13
5843,Chris Douglas-Roberts,DAL,26,200.66,210.0,Memphis,USA,2008,2,40,6.0,2.8,0.8,0.7,-8.9,0.0,8.2,13.8,46.2,10.3,'12-13
5844,Chris Duhon,LAL,30,185.42,190.0,Duke,USA,2004,2,38,46.0,2.9,1.5,2.9,-0.8,1.3,6.6,8.9,51.7,23.6,'12-13
5845,Chris Johnson,MEM,23,198.12,201.0,Dayton,USA,Undrafted,Undrafted,Undrafted,8.0,3.6,1.4,0.3,19.2,4.6,6.2,12.1,56.0,2.5,'12-13
5846,Chris Johnson,MIN,27,210.82,210.0,Louisiana State,USA,Undrafted,Undrafted,Undrafted,30.0,3.9,2.0,0.3,-3.5,7.6,13.7,16.5,65.0,4.2,'12-13
5847,Chris Kaman,DAL,31,213.36,265.0,Central Michigan,USA,2003,1,6,66.0,10.5,5.6,0.8,-5.3,7.5,20.3,25.1,52.9,6.6,'12-13
5848,Chris Paul,LAC,28,182.88,175.0,Wake Forest,USA,2005,1,4,70.0,16.9,3.7,9.7,9.7,2.4,9.6,22.3,59.4,44.3,'12-13
5849,Chris Quinn,CLE,29,187.96,175.0,Notre Dame,USA,Undrafted,Undrafted,Undrafted,7.0,1.4,0.3,1.3,7.9,1.3,1.5,13.1,29.6,15.5,'12-13
5850,Chris Singleton,WAS,23,203.2,230.0,Florida State,USA,2011,1,18,57.0,4.1,3.2,0.6,-3.6,5.4,14.6,15.4,42.5,6.5,'12-13
5851,Chris Wilcox,BOS,30,208.28,235.0,Maryland,USA,2002,1,8,61.0,4.2,3.0,0.4,-1.7,7.2,14.1,11.7,72.5,4.1,'12-13
5852,Chris Wright,DAL,23,185.42,210.0,Georgetown,USA,Undrafted,Undrafted,Undrafted,3.0,0.7,0.0,0.0,-81.1,0.0,0.0,20.0,50.0,0.0,'12-13
5853,Chuck Hayes,SAC,30,198.12,250.0,Kentucky,USA,Undrafted,Undrafted,Undrafted,74.0,2.7,4.0,1.5,-0.9,9.1,15.6,9.3,46.9,13.5,'12-13
5854,Cole Aldrich,SAC,24,210.82,240.0,Kansas,USA,2010,1,11,45.0,2.2,2.7,0.2,1.5,7.5,22.0,12.1,56.3,3.2,'12-13
5855,Corey Brewer,DEN,27,205.74,188.0,Florida,USA,2007,1,7,82.0,12.1,2.9,1.5,3.9,2.7,8.4,22.8,50.6,9.7,'12-13
5856,Corey Maggette,DET,33,198.12,225.0,Duke,USA,1999,1,13,18.0,5.3,1.4,1.1,-3.9,1.8,7.9,19.7,48.9,12.1,'12-13
5857,Cory Higgins,CHA,24,195.58,180.0,Colorado,USA,Undrafted,Undrafted,Undrafted,6.0,2.3,0.5,0.8,-13.3,3.2,5.7,27.4,35.2,27.8,'12-13
5858,Cory Joseph,SAS,21,190.5,185.0,Texas,Canada,2011,1,29,28.0,4.5,1.9,1.9,-0.2,3.1,10.2,15.7,52.8,19.9,'12-13
5859,Courtney Lee,BOS,27,195.58,200.0,Western Kentucky,USA,2008,1,22,78.0,7.8,2.4,1.8,-1.8,1.8,8.4,15.5,54.5,11.6,'12-13
5860,D.J. Augustin,IND,25,182.88,183.0,University of Texas at Austin,USA,2008,1,9,76.0,4.7,1.2,2.2,-2.8,1.6,5.7,14.4,52.7,24.2,'12-13
5861,DJ White,BOS,26,205.74,250.0,Indiana,USA,2008,1,29,12.0,2.4,1.1,0.3,14.6,5.3,10.0,15.8,53.8,7.0,'12-13
5862,DaJuan Summers,LAC,25,203.2,240.0,Georgetown,USA,2009,2,35,2.0,1.0,1.0,0.5,0.0,0.0,33.3,28.6,25.0,25.0,'12-13
5863,Daequan Cook,CHI,26,195.58,210.0,Ohio State,USA,2007,1,21,49.0,2.8,1.2,0.4,-5.4,1.5,12.9,18.1,39.8,7.2,'12-13
5864,Dahntay Jones,ATL,32,198.12,225.0,Duke,USA,2003,1,20,78.0,3.4,1.3,0.6,-3.9,2.4,7.2,13.5,48.2,7.0,'12-13
5865,Damian Lillard,POR,22,190.5,195.0,Weber State,USA,2012,1,6,82.0,19.0,3.1,6.5,-1.5,1.4,7.0,23.7,54.6,28.0,'12-13
5866,Damien Wilkins,PHI,33,198.12,225.0,Georgia,USA,Undrafted,Undrafted,Undrafted,61.0,6.4,1.7,1.5,-4.8,2.9,6.9,17.1,53.3,13.4,'12-13
5867,Damion James,BKN,25,200.66,225.0,Texas-Austin,USA,2010,1,24,2.0,0.0,0.5,0.0,-25.0,0.0,33.3,0.0,0.0,0.0,'12-13
5868,Daniel Gibson,CLE,27,187.96,200.0,Texas,USA,2006,2,42,46.0,5.4,1.3,1.8,-11.5,0.5,6.7,14.0,47.5,14.7,'12-13
5869,Daniel Orton,OKC,22,208.28,255.0,Kentucky,USA,2010,1,29,13.0,2.5,2.0,0.3,-7.0,11.3,12.1,15.6,49.3,6.2,'12-13
5870,Danilo Gallinari,DEN,24,208.28,225.0,None,Italy,2008,1,6,71.0,16.2,5.2,2.5,7.3,2.8,13.0,21.0,56.1,11.3,'12-13
5871,Danny Granger,IND,30,203.2,228.0,New Mexico,USA,2005,1,17,5.0,5.4,1.8,0.6,-10.0,4.3,8.1,26.2,35.0,7.9,'12-13
5872,Danny Green,SAS,26,198.12,210.0,North Carolina,USA,2009,2,46,80.0,10.5,3.1,1.8,7.5,1.8,9.2,16.4,60.0,9.5,'12-13
5873,Dante Cunningham,MIN,26,203.2,230.0,Villanova,USA,2009,2,33,80.0,8.7,5.1,0.8,-2.1,6.9,13.9,17.0,48.5,5.6,'12-13
5874,Darius Johnson-Odom,LAL,23,187.96,215.0,Marquette,USA,2012,2,55,4.0,0.0,1.0,0.3,-56.3,8.3,20.0,22.2,0.0,33.3,'12-13
5875,Darius Miller,NOH,23,203.2,235.0,Kentucky,USA,2012,2,46,52.0,2.3,1.5,0.8,-4.0,1.2,11.1,8.9,52.9,10.0,'12-13
5876,Darius Morris,LAL,22,193.04,190.0,Michigan,USA,2011,2,41,48.0,4.0,1.2,1.6,-0.1,3.4,4.5,15.6,47.5,17.5,'12-13
5877,Darko Milicic,BOS,28,213.36,275.0,None,Serbia,2003,1,2,1.0,0.0,1.0,0.0,-30.0,0.0,25.0,23.1,0.0,0.0,'12-13
5878,Darrell Arthur,MEM,25,205.74,235.0,Kansas,USA,2008,1,27,59.0,6.1,2.9,0.6,-4.6,7.0,11.0,19.6,47.7,6.0,'12-13
5879,Darren Collison,DAL,25,182.88,175.0,UCLA,USA,2009,1,21,81.0,12.0,2.7,5.1,-1.8,1.4,7.8,19.0,57.5,26.4,'12-13
5880,David Lee,GSW,30,205.74,240.0,Florida,USA,2005,1,30,79.0,18.5,11.2,3.5,2.7,7.8,22.1,23.0,56.1,15.8,'12-13
5881,David West,IND,32,205.74,250.0,Xavier,USA,2003,1,18,73.0,17.1,7.7,2.9,7.7,6.2,16.7,24.3,54.5,15.7,'12-13
5882,DeAndre Jordan,LAC,24,210.82,265.0,Texas A&M,USA,2008,2,35,82.0,8.8,7.2,0.3,8.0,11.4,20.7,15.8,60.6,2.0,'12-13
5883,DeAndre Liggins,OKC,25,198.12,209.0,Kentucky,USA,2011,2,53,39.0,1.5,1.4,0.4,-4.8,4.5,13.8,10.4,52.8,7.7,'12-13
5884,DeJuan Blair,SAS,24,200.66,270.0,Pittsburgh,USA,2009,2,37,61.0,5.4,3.8,0.7,-1.4,8.2,19.2,18.3,54.3,8.4,'12-13
5885,DeMar DeRozan,TOR,23,200.66,216.0,Southern California,USA,2009,1,9,82.0,18.1,3.9,2.5,-1.7,1.6,9.5,23.8,52.3,12.0,'12-13
5886,DeMarcus Cousins,SAC,22,210.82,270.0,Kentucky,USA,2010,1,5,75.0,17.1,9.9,2.7,-6.1,9.7,24.5,27.8,52.4,15.4,'12-13
5887,DeMarre Carroll,UTA,26,203.2,212.0,Missouri,USA,2009,1,27,66.0,6.0,2.8,0.9,5.6,8.1,9.6,15.8,53.5,8.5,'12-13
5888,DeQuan Jones,ORL,23,203.2,221.0,Miami,USA,Undrafted,Undrafted,Undrafted,63.0,3.7,1.7,0.3,-10.5,2.0,11.0,14.6,48.5,3.0,'12-13
5889,DeSagana Diop,CHA,31,213.36,280.0,None,Senegal,2001,1,8,22.0,0.7,2.3,0.6,-7.2,4.4,16.7,6.9,29.2,8.7,'12-13
5890,DeShawn Stevenson,ATL,32,195.58,218.0,None,USA,2000,1,23,56.0,5.1,2.2,0.9,-1.6,1.6,9.2,11.6,52.2,6.3,'12-13
5891,Derek Fisher,OKC,38,185.42,210.0,Arkansas-Little Rock,USA,1996,1,24,33.0,5.3,1.1,1.4,5.9,0.4,6.1,16.4,49.2,11.7,'12-13
5892,Deron Williams,BKN,29,190.5,209.0,Illinois,USA,2005,1,3,78.0,18.9,3.0,7.7,3.1,1.0,7.6,23.8,57.4,36.4,'12-13
5893,Derrick Favors,UTA,21,208.28,248.0,Georgia Tech,USA,2010,1,3,77.0,9.4,7.1,1.0,0.1,10.3,21.0,20.1,53.3,7.1,'12-13
5894,Derrick Williams,MIN,22,203.2,241.0,Arizona,USA,2011,1,2,78.0,12.0,5.5,0.6,-4.5,5.0,18.3,23.4,51.5,4.4,'12-13
5895,Devin Ebanks,LAL,23,205.74,215.0,West Virginia,USA,2010,2,43,19.0,3.4,2.2,0.5,-5.8,4.5,14.4,19.4,41.1,9.4,'12-13
5896,Devin Harris,ATL,30,190.5,192.0,Wisconsin,USA,2004,1,5,58.0,9.9,2.0,3.4,6.0,0.4,7.6,19.1,56.5,21.5,'12-13
5897,Dexter Pittman,MEM,25,210.82,285.0,Texas-Austin,USA,2010,2,32,11.0,0.7,1.1,0.0,-43.3,20.6,15.6,19.0,32.5,0.0,'12-13
5898,Diante Garrett,PHX,24,193.04,190.0,Iowa State,USA,Undrafted,Undrafted,Undrafted,19.0,2.1,0.8,1.6,-14.2,3.0,6.8,19.6,37.5,35.2,'12-13
5899,Dion Waiters,CLE,21,193.04,215.0,Syracuse,USA,2012,1,4,61.0,14.7,2.4,3.0,-4.3,1.2,8.1,25.8,49.2,17.8,'12-13
5900,Dirk Nowitzki,DAL,35,213.36,245.0,None,Germany,1998,1,9,53.0,17.3,6.8,2.5,0.8,2.3,19.9,24.0,56.4,13.2,'12-13
5901,Dominic McGuire,IND,27,205.74,235.0,Fresno State,USA,2007,2,47,26.0,2.0,3.0,0.8,-12.2,5.1,16.5,8.8,42.2,8.0,'12-13
5902,Dominique Jones,DAL,24,195.58,215.0,South Florida,USA,2010,1,25,29.0,4.0,1.6,2.9,-2.2,5.3,7.5,22.7,43.8,40.3,'12-13
5903,Donald Sloan,NOH,25,190.5,205.0,Texas A&M,USA,Undrafted,Undrafted,Undrafted,23.0,3.5,1.2,1.7,-13.4,1.0,9.8,17.1,45.5,28.4,'12-13
5904,Donatas Motiejunas,HOU,22,213.36,222.0,None,Lithuania,2011,1,20,44.0,5.7,2.1,0.7,3.8,6.9,10.5,22.0,53.1,9.1,'12-13
5905,Dorell Wright,PHI,27,205.74,205.0,None,USA,2004,1,19,79.0,9.2,3.8,1.9,-6.1,2.2,15.2,18.1,55.1,13.8,'12-13
5906,Doron Lamb,ORL,21,193.04,210.0,Kentucky,USA,2012,2,42,47.0,3.3,1.0,0.7,-7.0,1.3,6.7,15.2,43.3,8.5,'12-13
5907,Draymond Green,GSW,23,200.66,230.0,Michigan State,USA,2012,2,35,79.0,2.9,3.3,0.7,-0.9,5.5,17.8,13.5,40.4,7.6,'12-13
5908,Drew Gooden,MIL,31,208.28,250.0,Kansas,USA,2002,1,4,16.0,3.3,1.9,0.4,-5.2,7.6,11.8,21.3,38.2,6.5,'12-13
5909,Dwight Howard,LAL,27,210.82,265.0,None,USA,2004,1,1,76.0,17.1,12.4,1.4,2.9,9.4,24.4,22.3,57.3,6.8,'12-13
5910,Dwyane Wade,MIA,31,193.04,220.0,Marquette,USA,2003,1,5,69.0,21.2,5.0,5.1,12.3,4.2,11.2,28.8,57.1,24.8,'12-13
5911,E'Twaun Moore,ORL,24,193.04,191.0,Purdue,USA,2011,2,55,75.0,7.8,2.2,2.7,-8.9,2.8,7.2,19.2,47.1,19.5,'12-13
5912,Earl Barron,NYK,31,213.36,250.0,Memphis,USA,Undrafted,Undrafted,Undrafted,12.0,3.3,5.1,0.4,-5.6,11.1,26.0,17.3,36.1,5.4,'12-13
5913,Earl Clark,LAL,25,208.28,225.0,Louisville,USA,2009,1,14,59.0,7.3,5.5,1.1,-3.9,6.1,17.2,15.4,51.0,7.3,'12-13
5914,Earl Watson,UTA,34,185.42,199.0,UCLA,USA,2001,2,39,48.0,2.0,1.8,4.0,-3.1,2.8,8.6,10.4,36.6,32.6,'12-13
5915,Ed Davis,MEM,24,208.28,232.0,North Carolina,USA,2010,1,13,81.0,7.7,5.7,0.8,-0.4,9.7,20.1,17.5,56.1,6.6,'12-13
5916,Eddy Curry,DAL,30,213.36,295.0,None,USA,2001,1,4,2.0,4.5,2.0,0.0,11.3,8.7,6.7,22.8,46.1,0.0,'12-13
5917,Ekpe Udoh,MIL,26,208.28,245.0,Baylor,USA,2010,1,6,76.0,4.3,3.3,0.6,-1.5,8.1,10.5,12.1,50.3,4.9,'12-13
5918,Elton Brand,DAL,34,205.74,254.0,Duke,USA,1999,1,1,72.0,7.2,6.0,1.0,-2.1,8.8,18.9,16.7,49.9,7.2,'12-13
5919,Emeka Okafor,WAS,30,208.28,255.0,Connecticut,USA,2004,1,2,79.0,9.7,8.8,1.2,-0.8,9.5,23.9,19.3,49.6,7.7,'12-13
5920,Enes Freedom,UTA,21,210.82,267.0,None,Turkey,2011,1,3,70.0,7.2,4.3,0.4,5.1,12.5,15.5,20.6,58.8,5.0,'12-13
5921,Eric Bledsoe,LAC,23,185.42,195.0,Kentucky,USA,2010,1,18,76.0,8.5,3.0,3.1,4.1,5.3,9.4,21.9,51.3,24.9,'12-13
5922,Eric Gordon,NOH,24,190.5,215.0,Indiana,USA,2008,1,7,42.0,17.0,1.8,3.3,-1.5,0.8,5.8,28.1,52.3,18.3,'12-13
5923,Eric Maynor,POR,26,190.5,175.0,Va Commonwealth,USA,2009,1,20,64.0,4.5,0.7,2.8,-3.0,1.0,4.0,18.1,47.2,29.5,'12-13
5924,Ersan Ilyasova,MIL,26,208.28,235.0,None,Turkey,2005,2,36,73.0,13.2,7.1,1.6,0.2,7.2,18.5,20.2,55.2,9.2,'12-13
5925,Evan Fournier,DEN,20,198.12,200.0,None,France,2012,1,20,38.0,5.3,0.9,1.2,6.6,1.4,6.0,19.8,59.7,15.3,'12-13
5926,Evan Turner,PHI,24,200.66,220.0,Ohio State,USA,2010,1,2,82.0,13.3,6.3,4.3,-3.8,1.9,16.2,20.9,47.8,19.2,'12-13
5927,Fab Melo,BOS,23,213.36,255.0,Syracuse,Brazil,2012,1,22,6.0,1.2,0.5,0.0,-12.8,0.0,7.3,11.3,45.1,0.0,'12-13
5928,Festus Ezeli,GSW,23,210.82,255.0,Vanderbilt,Nigeria,2012,1,30,78.0,2.4,4.0,0.3,-0.9,12.6,14.7,10.6,46.7,2.8,'12-13
5929,Francisco Garcia,HOU,31,200.66,195.0,Louisville,Dominican Republic,2005,1,23,58.0,5.5,1.6,1.1,-1.9,0.8,8.0,14.6,51.9,9.5,'12-13
5930,Garrett Temple,WAS,27,198.12,195.0,Louisiana State,USA,Undrafted,Undrafted,Undrafted,51.0,5.1,2.4,2.3,-0.3,2.5,8.2,13.0,47.8,15.1,'12-13
5931,Gary Neal,SAS,28,193.04,210.0,Towson,USA,Undrafted,Undrafted,Undrafted,68.0,9.5,2.1,1.9,3.9,0.9,8.5,21.1,51.2,13.7,'12-13
5932,George Hill,IND,27,187.96,190.0,Indiana-Purdue Indianapolis,USA,2008,1,26,76.0,14.2,3.7,4.7,8.5,1.8,8.7,18.4,55.8,22.0,'12-13
5933,Gerald Green,IND,27,203.2,210.0,No College,USA,2005,1,18,60.0,7.0,2.4,0.8,-0.7,2.7,9.5,20.7,46.5,8.7,'12-13
5934,Gerald Henderson,CHA,25,195.58,215.0,Duke,USA,2009,1,12,68.0,15.5,3.7,2.6,-10.0,2.5,9.7,23.2,53.1,15.2,'12-13
5935,Gerald Wallace,BKN,30,200.66,220.0,Alabama,USA,2001,1,25,69.0,7.7,4.6,2.6,4.0,3.4,12.4,14.3,49.0,13.1,'12-13
5936,Glen Davis,ORL,27,205.74,289.0,Louisiana State,USA,2007,2,35,34.0,15.1,7.2,2.1,-1.0,5.3,18.2,25.5,48.3,11.5,'12-13
5937,Goran Dragic,PHX,27,190.5,190.0,None,Slovenia,2008,2,45,77.0,14.7,3.1,7.4,-4.7,2.3,7.3,21.3,54.0,34.4,'12-13
5938,Gordon Hayward,UTA,23,203.2,210.0,Butler,USA,2010,1,9,72.0,14.1,3.1,3.0,2.5,2.5,8.7,21.1,56.4,16.3,'12-13
5939,Grant Hill,LAC,40,203.2,225.0,Duke,USA,1994,1,3,29.0,3.2,1.7,0.9,-0.2,1.4,9.5,13.8,42.8,9.0,'12-13
5940,Greg Monroe,DET,23,210.82,250.0,Georgetown,USA,2010,1,7,81.0,16.0,9.6,3.5,-5.2,8.9,21.2,24.4,52.7,18.9,'12-13
5941,Greg Smith,HOU,22,208.28,250.0,Fresno State,USA,Undrafted,Undrafted,Undrafted,70.0,6.0,4.6,0.4,5.5,9.9,18.0,14.4,63.6,3.6,'12-13
5942,Greg Stiemsma,MIN,27,210.82,260.0,Wisconsin,USA,Undrafted,Undrafted,Undrafted,76.0,4.0,3.4,0.4,-3.4,5.0,17.6,13.6,49.8,4.0,'12-13
5943,Greivis Vasquez,NOH,26,198.12,211.0,Maryland,Venezuela,2010,1,28,78.0,13.9,4.3,9.0,-3.0,1.7,11.9,22.7,50.2,43.2,'12-13
5944,Gustavo Ayon,MIL,28,208.28,250.0,None,Mexico,Undrafted,Undrafted,Undrafted,55.0,3.7,3.6,1.3,0.1,8.5,18.5,14.1,54.0,14.2,'12-13
5945,Hakim Warrick,CHA,30,205.74,219.0,Syracuse,USA,2005,1,19,28.0,6.9,3.2,0.9,-12.2,4.2,14.1,21.5,47.6,9.1,'12-13
5946,Hamed Haddadi,PHX,28,218.44,265.0,None,Iran,Undrafted,Undrafted,Undrafted,30.0,2.8,3.7,0.4,-0.1,12.2,20.3,16.4,44.7,5.8,'12-13
5947,Harrison Barnes,GSW,21,203.2,210.0,North Carolina,USA,2012,1,7,81.0,9.2,4.1,1.2,2.0,2.6,12.9,17.4,52.6,7.2,'12-13
5948,Hasheem Thabeet,OKC,26,220.98,263.0,Connecticut,Tanzania,2009,1,2,66.0,2.4,3.0,0.2,9.9,10.0,15.6,9.8,61.9,2.1,'12-13
5949,Hedo Turkoglu,ORL,34,208.28,220.0,None,Turkey,2000,1,16,11.0,2.9,2.4,2.1,-23.2,2.1,11.6,16.7,28.8,20.0,'12-13
5950,Henry Sims,NOH,23,208.28,245.0,Georgetown,USA,Undrafted,Undrafted,Undrafted,2.0,2.0,1.0,0.0,21.1,33.3,0.0,36.4,66.7,0.0,'12-13
5951,Ian Mahinmi,IND,26,210.82,230.0,None,France,2005,1,28,80.0,5.0,3.9,0.3,-5.3,8.6,15.1,17.2,49.7,3.8,'12-13
5952,Iman Shumpert,NYK,23,195.58,220.0,Georgia Tech,USA,2011,1,17,45.0,6.8,3.0,1.7,0.6,3.2,11.3,15.5,51.6,12.0,'12-13
5953,Isaiah Thomas,SAC,24,175.26,185.0,Washington,USA,2011,2,60,79.0,13.9,2.0,4.0,-2.6,1.4,6.5,22.4,57.4,24.3,'12-13
5954,Ish Smith,MIL,24,182.88,175.0,Wake Forest,USA,Undrafted,Undrafted,Undrafted,52.0,2.4,1.2,1.7,-3.9,2.1,9.1,16.8,37.9,25.6,'12-13
5955,Ivan Johnson,ATL,29,203.2,255.0,California State-San Bernardino,USA,Undrafted,Undrafted,Undrafted,69.0,6.6,3.9,0.7,-0.9,7.5,18.7,20.7,54.6,7.9,'12-13
5956,J.J. Barea,MIN,29,182.88,175.0,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,74.0,11.3,2.8,4.0,-1.7,1.9,10.4,24.2,51.0,30.1,'12-13
5957,JJ Hickson,POR,24,205.74,242.0,North Carolina State,USA,2008,1,19,80.0,12.7,10.4,1.1,-5.3,11.7,25.1,19.6,59.1,6.5,'12-13
5958,JJ Redick,MIL,29,193.04,190.0,Duke,USA,2006,1,11,78.0,14.1,2.2,3.8,-2.4,0.7,6.5,20.3,57.1,19.3,'12-13
5959,JR Smith,NYK,27,198.12,220.0,No College,USA,2004,1,18,80.0,18.1,5.3,2.7,5.7,2.4,14.2,26.0,52.2,14.7,'12-13
5960,JaVale McGee,DEN,25,213.36,252.0,Nevada,USA,2008,1,18,79.0,9.1,4.8,0.3,2.6,11.3,14.1,20.6,58.9,2.7,'12-13
5961,Jae Crowder,DAL,22,198.12,235.0,Marquette,USA,2012,2,34,78.0,5.0,2.4,1.2,-0.3,2.6,11.2,14.6,49.1,10.3,'12-13
5962,Jamaal Tinsley,UTA,35,190.5,197.0,Iowa State,USA,2001,1,27,66.0,3.5,1.7,4.4,0.5,1.5,8.2,13.3,46.7,35.4,'12-13
5963,Jamal Crawford,LAC,33,195.58,200.0,Michigan,USA,2000,1,8,76.0,16.5,1.7,2.5,7.8,1.0,4.7,25.2,55.8,14.8,'12-13
5964,Jameer Nelson,ORL,31,182.88,190.0,St. Joseph's (PA),USA,2004,1,20,56.0,14.7,3.7,7.4,-4.9,1.2,9.6,22.3,49.8,32.6,'12-13
5965,James Anderson,HOU,24,198.12,215.0,Oklahoma State,USA,2010,1,20,39.0,3.8,1.8,1.1,11.9,4.7,12.5,16.9,53.9,14.4,'12-13
5966,James Harden,HOU,23,195.58,220.0,Arizona State,USA,2009,1,3,78.0,25.9,4.9,5.8,2.9,2.1,10.5,28.5,60.0,25.7,'12-13
5967,James Johnson,SAC,26,205.74,248.0,Wake Forest,USA,2009,1,16,54.0,5.1,2.7,1.1,-15.1,5.3,11.6,18.7,44.2,11.0,'12-13
5968,James Jones,MIA,32,203.2,215.0,Miami,USA,2003,2,49,38.0,1.6,0.6,0.3,-6.8,0.0,8.8,13.5,47.8,11.0,'12-13
5969,James White,NYK,30,200.66,215.0,Cincinnati,USA,2006,2,31,57.0,2.2,0.8,0.5,-8.7,1.1,10.5,14.8,50.3,10.7,'12-13
5970,Jan Vesely,WAS,23,210.82,240.0,None,Czech Republic,2011,1,6,51.0,2.5,2.4,0.5,-2.2,7.4,13.3,12.1,48.0,6.9,'12-13
5971,Jannero Pargo,CHA,33,185.42,185.0,Arkansas,USA,Undrafted,Undrafted,Undrafted,32.0,6.5,1.1,2.1,-8.9,2.1,5.7,23.3,47.5,23.3,'12-13
5972,Jared Cunningham,DAL,22,193.04,195.0,Oregon State,USA,2012,1,24,8.0,2.0,0.4,0.1,-12.3,4.2,7.1,27.9,53.8,11.1,'12-13
5973,Jared Dudley,PHX,27,200.66,225.0,Boston College,USA,2007,1,22,79.0,10.9,3.1,2.6,-3.2,3.5,7.9,17.0,58.2,14.7,'12-13
5974,Jared Jeffries,POR,31,210.82,240.0,Indiana,USA,2002,1,11,38.0,1.2,1.6,0.4,-0.3,7.7,10.3,10.4,34.3,5.8,'12-13
5975,Jared Sullinger,BOS,21,205.74,260.0,Ohio State,USA,2012,1,21,45.0,6.0,5.9,0.8,3.6,11.2,19.5,14.6,53.4,6.2,'12-13
5976,Jarrett Jack,GSW,29,190.5,197.0,Georgia Tech,USA,2005,1,22,79.0,12.9,3.1,5.6,1.5,0.9,8.9,20.7,54.2,30.0,'12-13
5977,Jarvis Varnado,MIA,25,205.74,230.0,Mississippi State,USA,2010,2,41,13.0,0.6,0.7,0.2,-23.0,3.8,11.3,12.5,45.7,10.7,'12-13
5978,Jason Collins,WAS,34,213.36,255.0,Stanford,USA,2001,1,18,38.0,1.1,1.6,0.2,2.5,5.9,10.0,7.3,47.6,2.9,'12-13
5979,Jason Kidd,NYK,40,193.04,210.0,California,USA,1994,1,2,76.0,6.0,4.3,3.3,4.5,2.4,14.4,11.3,53.2,17.8,'12-13
5980,Jason Maxiell,DET,30,200.66,260.0,Cincinnati,USA,2005,1,26,72.0,6.9,5.7,0.8,-5.8,7.7,16.0,15.5,47.8,4.9,'12-13
