,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
265,Juancho Hernangomez,TOR,27,205.74,214.0,None,Spain,2016,1,15,41.0,3.0,3.0,0.6,0.3,4.2,16.8,9.2,50.8,4.9,'22-23
266,Julian Champagnie,PHI,21,200.66,217.0,St. John's,USA,Undrafted,Undrafted,Undrafted,2.0,0.0,0.0,0.0,-22.7,0.0,0.0,14.3,0.0,0.0,'22-23
267,Julius Randle,NYK,28,203.2,250.0,Kentucky,USA,2014,1,7,56.0,24.7,10.9,4.2,1.5,6.0,23.6,28.1,58.0,18.8,'22-23
268,Justin Champagnie,TOR,21,198.12,206.0,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,3.0,2.0,1.3,0.3,-3.7,10.0,42.9,13.0,100,12.5,'22-23
269,Justin Holiday,ATL,33,198.12,180.0,Washington,USA,Undrafted,Undrafted,Undrafted,28.0,4.5,0.8,0.9,-7.9,0.4,5.0,13.4,50.4,8.5,'22-23
270,Justin Jackson,BOS,27,203.2,220.0,North Carolina,USA,2017,1,15,23.0,0.9,0.7,0.4,-28.3,1.7,11.9,12.2,35.9,14.5,'22-23
271,Justise Winslow,POR,26,198.12,222.0,Duke,USA,2015,1,10,29.0,6.8,5.0,3.4,-2.6,6.2,12.3,13.9,46.6,17.7,'22-23
272,Jusuf Nurkic,POR,28,213.36,290.0,None,Bosnia and Herzegovina,2014,1,16,45.0,13.8,9.4,2.9,1.8,8.8,26.4,21.9,59.8,15.7,'22-23
273,KZ Okpala,SAC,23,203.2,215.0,Stanford,USA,2019,2,32,35.0,1.3,1.0,0.4,1.5,2.8,10.2,8.1,55.4,6.5,'22-23
274,Kai Jones,CHA,22,210.82,221.0,Texas,Bahamas,2021,1,19,27.0,2.7,1.9,0.2,3.9,8.0,13.2,12.1,56.8,2.9,'22-23
275,Karl-Anthony Towns,MIN,27,213.36,248.0,Kentucky,USA,2015,1,1,21.0,20.8,8.2,5.3,-0.9,5.0,17.8,24.4,62.5,23.5,'22-23
276,Kawhi Leonard,LAC,31,200.66,225.0,San Diego State,USA,2011,1,15,32.0,22.0,6.1,4.0,7.8,4.0,15.5,26.8,59.9,20.7,'22-23
277,Keegan Murray,SAC,22,203.2,225.0,Iowa,USA,2022,1,4,52.0,12.0,4.6,1.0,2.3,3.9,11.9,15.9,58.9,4.3,'22-23
278,Keita Bates-Diop,SAS,27,203.2,229.0,Ohio State,USA,2018,2,48,41.0,7.8,3.2,1.0,-11.9,5.1,11.7,15.8,58.4,7.1,'22-23
279,Keldon Johnson,SAS,23,195.58,220.0,Kentucky,USA,2019,1,29,49.0,21.7,4.8,2.7,-11.5,2.5,12.7,27.4,54.9,12.6,'22-23
280,Kelly Olynyk,UTA,31,210.82,240.0,Gonzaga,Canada,2013,1,13,44.0,11.6,5.0,3.2,-0.7,4.4,13.4,17.2,62.5,15.5,'22-23
281,Kelly Oubre Jr.,CHA,27,198.12,203.0,Kansas,USA,2015,1,15,35.0,20.2,5.1,1.2,-8.9,4.1,11.7,26.0,51.5,5.8,'22-23
282,Kemba Walker,DAL,32,182.88,184.0,Connecticut,USA,2011,1,9,9.0,8.0,1.8,2.1,-1.9,2.0,9.0,21.5,54.3,21.6,'22-23
283,Kendall Brown,IND,19,200.66,205.0,Baylor,USA,2022,2,48,6.0,1.5,1.0,0.5,8.2,5.1,8.9,9.3,57.1,9.1,'22-23
284,Kendrick Nunn,WAS,27,190.5,190.0,Oakland,USA,Undrafted,Undrafted,Undrafted,46.0,7.0,1.5,1.1,-0.8,1.6,8.0,22.4,50.8,11.0,'22-23
285,Kennedy Chandler,MEM,20,180.34,170.0,Tennessee,USA,2022,2,38,23.0,2.6,1.3,2.0,-8.3,2.4,10.3,15.5,41.6,29.7,'22-23
286,Kenneth Lofton Jr.,MEM,20,198.12,275.0,Louisiana Tech,USA,Undrafted,Undrafted,Undrafted,7.0,2.4,0.6,0.6,-49.2,2.6,12.0,28.4,44.3,33.3,'22-23
287,Kenrich Williams,OKC,28,198.12,210.0,TCU,USA,Undrafted,Undrafted,Undrafted,46.0,7.8,4.9,2.0,2.9,7.8,13.8,13.0,59.8,12.1,'22-23
288,Kentavious Caldwell-Pope,DEN,29,195.58,204.0,Georgia,USA,2013,1,8,52.0,11.4,2.9,2.2,12.8,1.7,8.0,14.1,61.1,8.3,'22-23
289,Kenyon Martin Jr.,HOU,22,200.66,215.0,None,USA,2020,2,52,55.0,11.6,5.5,1.5,-5.1,5.5,15.1,15.9,63.3,8.4,'22-23
290,Keon Ellis,SAC,23,190.5,175.0,Alabama,USA,Undrafted,Undrafted,Undrafted,7.0,2.7,1.0,0.4,26.8,9.4,14.3,14.5,92.1,14.3,'22-23
