,#,team,gp,w,l,min,"est. 
offrtg","est. 
defrtg","est. 
netrtg","est. 
ast ratio","est. 
oreb%","est. 
dreb%","est. 
reb%","est. 
tov%","est. 
pace",season
21,22,Atlanta Hawks,82,33,49,3956,99.1,103.7,-4.6,15.8,27.5,70.9,49.1,16.4,94.40,'01-02
22,23,New York Knicks,82,30,52,3961,98.6,103.0,-4.4,16.7,25.6,71.9,48.8,15.6,92.30,'01-02
23,24,Cleveland Cavaliers,82,29,53,3971,101.7,105.0,-3.3,17.8,28.9,72.8,51.0,15.6,93.00,'01-02
24,25,Houston Rockets,82,28,54,3996,99.7,105.9,-6.1,14.6,29.0,69.8,49.2,15.2,90.80,'01-02
25,26,Denver Nuggets,82,27,55,3961,97.8,104.9,-7.1,17.0,30.6,69.9,49.3,15.6,93.30,'01-02
26,27,Memphis Grizzlies,82,23,59,3956,95.4,103.8,-8.4,16.9,27.8,68.0,47.9,17.4,93.50,'01-02
27,28,Golden State Warriors,82,21,61,3956,99.3,105.6,-6.3,15.3,35.3,69.4,51.9,17.1,97.50,'01-02
28,28,Chicago Bulls,82,21,61,3961,95.5,104.8,-9.3,17.3,26.6,71.4,48.4,16.3,93.00,'01-02
0,1,Dallas Mavericks,82,60,22,3956,108.2,99.4,8.8,17.3,25.4,70.9,48.1,12.1,95.00,'02-03
1,1,San Antonio Spurs,82,60,22,3966,103.1,96.6,6.5,15.9,28.8,71.3,51.1,17.0,92.50,'02-03
2,3,Sacramento Kings,82,59,23,3966,103.1,96.3,6.8,18.3,25.6,70.6,49.3,14.7,98.00,'02-03
3,4,Minnesota Timberwolves,82,51,31,3961,103.5,100.6,2.9,19.0,28.2,72.9,51.1,14.5,94.60,'02-03
4,5,Los Angeles Lakers,82,50,32,3986,104.1,101.8,2.3,17.4,30.2,72.7,51.3,15.1,95.20,'02-03
5,5,Portland Trail Blazers,82,50,32,3970,102.6,99.5,3.1,17.7,30.2,72.3,51.3,16.4,92.10,'02-03
6,5,Detroit Pistons,82,50,32,3981,101.4,97.3,4.2,16.2,25.9,74.0,49.6,14.9,89.10,'02-03
7,8,New Jersey Nets,82,49,33,3951,100.6,95.5,5.1,17.6,28.7,73.1,50.9,15.6,94.20,'02-03
8,9,Indiana Pacers,82,48,34,3981,101.6,97.9,3.7,17.7,29.0,72.3,51.1,15.5,94.20,'02-03
9,9,Philadelphia 76ers,82,48,34,3971,101.8,100.0,1.8,16.5,30.3,72.7,51.1,15.5,94.00,'02-03
10,11,New Orleans Hornets,82,47,35,3981,100.6,98.4,2.3,17.0,31.7,73.1,52.2,15.8,92.30,'02-03
11,11,Utah Jazz,82,47,35,3956,102.4,99.8,2.7,19.5,32.5,70.2,52.1,18.1,92.00,'02-03
12,13,Phoenix Suns,82,44,38,3961,100.7,99.4,1.2,16.2,29.7,70.3,49.8,15.5,94.30,'02-03
13,13,Boston Celtics,82,44,38,3966,98.9,98.5,0.4,15.5,23.6,72.5,47.4,14.9,93.40,'02-03
14,15,Houston Rockets,82,43,39,3986,101.0,99.9,1.1,14.7,30.3,72.4,51.8,16.8,91.50,'02-03
15,16,Orlando Magic,82,42,40,3961,102.3,101.9,0.4,15.8,27.0,71.1,48.4,14.9,95.80,'02-03
16,16,Milwaukee Bucks,82,42,40,3981,106.2,105.3,1.0,17.4,25.6,69.9,47.7,13.6,92.90,'02-03
17,18,Seattle SuperSonics,82,40,42,3971,100.7,100.9,-0.2,17.2,28.1,71.8,49.6,14.5,90.70,'02-03
18,19,Golden State Warriors,82,38,44,3951,105.0,106.0,-1.0,15.4,35.0,67.9,51.6,16.2,97.20,'02-03
19,20,New York Knicks,82,37,45,3971,101.5,103.7,-2.2,17.2,24.4,71.8,47.6,14.8,93.30,'02-03
20,20,Washington Wizards,82,37,45,3966,100.2,100.9,-0.7,15.9,27.3,71.6,49.4,14.6,90.80,'02-03
21,22,Atlanta Hawks,82,35,47,3981,99.6,102.8,-3.2,16.0,27.9,70.4,50.0,17.6,93.70,'02-03
22,23,Chicago Bulls,82,30,52,3985,97.3,103.1,-5.8,16.5,27.7,69.5,48.9,17.3,96.10,'02-03
23,24,Memphis Grizzlies,82,28,54,3986,101.0,104.6,-3.6,17.5,27.0,68.7,48.1,15.9,95.20,'02-03
24,25,Los Angeles Clippers,82,27,55,3951,99.5,103.6,-4.1,15.4,29.1,70.2,49.7,16.7,94.00,'02-03
25,26,Miami Heat,82,25,57,3966,93.8,99.8,-6.0,15.0,26.8,73.9,49.7,15.6,90.30,'02-03
26,27,Toronto Raptors,82,24,58,3961,97.4,104.3,-6.9,15.3,28.2,70.7,48.6,15.4,92.40,'02-03
27,28,Cleveland Cavaliers,82,17,65,3966,93.5,103.6,-10.1,15.7,31.0,73.2,51.7,18.7,96.90,'02-03
28,28,Denver Nuggets,82,17,65,3946,88.9,99.0,-10.0,16.3,31.3,73.3,51.3,19.5,93.80,'02-03
