,#,team,gp,w,l,min,"est. 
offrtg","est. 
defrtg","est. 
netrtg","est. 
ast ratio","est. 
oreb%","est. 
dreb%","est. 
reb%","est. 
tov%","est. 
pace",season
8,9,Memphis Grizzlies,82,50,32,3961,103.3,102.1,1.2,17.1,28.3,75.7,52.0,14.7,92.20,'13-14
9,10,Dallas Mavericks,82,49,33,3966,109.0,105.9,3.0,18.0,24.6,72.7,48.8,14.1,95.70,'13-14
10,11,Phoenix Suns,82,48,34,3951,107.1,103.8,3.3,14.7,26.4,73.7,50.1,15.6,98.20,'13-14
11,11,Toronto Raptors,82,48,34,3991,105.8,102.4,3.5,16.4,27.2,74.9,50.9,14.8,94.40,'13-14
12,11,Chicago Bulls,82,48,34,3986,99.7,97.8,1.9,17.6,27.2,75.4,51.7,15.9,92.70,'13-14
13,14,Washington Wizards,82,44,38,4011,103.3,102.4,0.9,17.6,25.2,75.7,50.0,15.1,95.50,'13-14
14,14,Brooklyn Nets,82,44,38,3976,104.4,104.9,-0.6,16.7,21.7,72.3,47.1,15.4,93.70,'13-14
15,16,Charlotte Bobcats,82,43,39,3981,101.2,101.2,0.1,16.9,21.9,77.6,49.6,12.9,94.70,'13-14
16,17,Minnesota Timberwolves,82,40,42,3971,105.6,104.1,1.4,17.3,27.4,74.4,50.3,13.8,99.80,'13-14
17,18,Atlanta Hawks,82,38,44,3966,103.4,104.1,-0.7,18.8,21.0,74.4,47.9,15.6,96.90,'13-14
18,19,New York Knicks,82,37,45,3971,105.4,106.5,-1.0,16.0,25.1,74.3,49.0,13.9,92.60,'13-14
19,20,Denver Nuggets,82,36,46,3951,103.3,105.4,-2.1,16.4,27.5,74.5,50.9,15.7,100.70,'13-14
20,21,New Orleans Pelicans,82,34,48,3971,104.7,107.3,-2.6,16.5,26.9,73.8,50.0,14.5,94.50,'13-14
21,22,Cleveland Cavaliers,82,33,49,3986,101.3,104.8,-3.5,16.2,27.2,75.8,50.9,14.6,95.70,'13-14
22,23,Detroit Pistons,82,29,53,3956,102.9,107.3,-4.4,15.6,31.4,73.4,51.4,14.8,97.40,'13-14
23,24,Sacramento Kings,82,28,54,3966,102.9,106.3,-3.4,14.6,27.8,76.6,51.9,15.6,96.70,'13-14
24,25,Los Angeles Lakers,82,27,55,3941,101.9,107.9,-6.0,18.1,20.2,71.0,45.6,15.0,101.00,'13-14
25,26,Boston Celtics,82,25,57,3946,99.7,105.2,-5.5,16.2,27.4,74.2,50.1,15.9,95.90,'13-14
26,26,Utah Jazz,82,25,57,3956,100.6,109.1,-8.4,16.1,25.5,74.5,49.2,15.5,93.60,'13-14
27,28,Orlando Magic,82,23,59,3991,99.3,104.8,-5.5,16.4,22.4,75.5,48.9,15.3,95.90,'13-14
28,29,Philadelphia 76ers,82,19,63,3971,96.8,107.5,-10.7,16.0,24.8,72.4,47.7,16.4,101.60,'13-14
29,30,Milwaukee Bucks,82,15,67,3976,100.2,108.9,-8.7,16.5,27.1,71.4,48.6,15.8,94.30,'13-14
0,1,Golden State Warriors,82,67,15,3946,109.7,98.2,11.4,19.7,24.1,74.5,50.1,14.4,100.70,'14-15
1,2,Atlanta Hawks,82,60,22,3946,106.2,100.7,5.6,19.5,21.4,73.4,48.2,14.7,96.20,'14-15
2,3,Houston Rockets,82,56,26,3961,104.2,100.5,3.7,16.5,26.8,72.9,49.9,16.7,99.30,'14-15
3,3,Los Angeles Clippers,82,56,26,3946,109.8,103.0,6.9,18.7,22.8,75.7,49.8,12.7,97.00,'14-15
4,5,San Antonio Spurs,82,55,27,3991,106.2,99.6,6.6,18.4,23.4,77.3,50.9,14.4,95.90,'14-15
5,5,Memphis Grizzlies,82,55,27,3981,103.1,99.9,3.1,16.9,24.7,75.3,50.1,14.0,94.20,'14-15
6,7,Cleveland Cavaliers,82,53,29,3956,107.7,104.1,3.7,17.1,26.8,74.7,51.1,14.9,94.80,'14-15
7,8,Portland Trail Blazers,82,51,31,3971,105.5,101.4,4.2,16.8,24.2,76.2,50.7,14.0,96.50,'14-15
8,9,Dallas Mavericks,82,50,32,3976,107.2,103.7,3.5,17.0,23.6,72.2,47.8,13.2,97.40,'14-15
9,9,Chicago Bulls,82,50,32,3976,104.7,101.5,3.3,16.6,27.0,74.4,51.3,14.5,95.40,'14-15
10,11,Toronto Raptors,82,49,33,3971,108.1,104.8,3.2,16.1,25.6,73.3,49.5,13.4,95.40,'14-15
11,12,Washington Wizards,82,46,36,3991,101.8,100.0,1.9,18.1,24.9,77.3,51.7,15.5,96.00,'14-15
12,13,Oklahoma City Thunder,82,45,37,3966,104.5,103.1,1.3,15.3,28.9,75.6,52.6,14.8,98.30,'14-15
13,13,New Orleans Pelicans,82,45,37,3956,105.4,104.7,0.7,17.1,27.1,75.1,51.1,14.1,93.70,'14-15
14,15,Milwaukee Bucks,82,41,41,3986,100.5,99.3,1.2,17.8,25.4,73.3,49.5,17.2,96.50,'14-15
15,16,Boston Celtics,82,40,42,3976,101.7,102.1,-0.4,18.0,24.7,75.0,49.5,13.9,98.40,'14-15
16,17,Phoenix Suns,82,39,43,3976,102.9,103.4,-0.5,15.4,24.5,73.5,48.8,15.2,98.70,'14-15
17,18,Indiana Pacers,82,38,44,3971,100.8,100.9,-0.1,16.6,24.0,77.9,51.2,14.5,95.50,'14-15
18,18,Brooklyn Nets,82,38,44,3986,101.9,105.0,-3.1,16.3,23.9,73.7,48.9,14.4,95.00,'14-15
19,18,Utah Jazz,82,38,44,3941,102.5,102.1,0.5,15.8,29.1,76.3,52.8,16.5,92.80,'14-15
20,21,Miami Heat,82,37,45,3946,101.5,103.8,-2.4,16.1,23.2,73.4,48.8,15.9,93.30,'14-15
21,22,Charlotte Hornets,82,33,49,3981,97.6,101.0,-3.4,15.8,22.1,79.3,50.0,12.3,95.30,'14-15
22,23,Detroit Pistons,82,32,50,3966,102.3,104.2,-1.8,16.4,27.7,75.0,50.4,13.9,95.20,'14-15
23,24,Denver Nuggets,82,30,52,3976,101.6,105.5,-3.9,16.2,26.6,74.7,49.8,14.2,98.70,'14-15
24,25,Sacramento Kings,82,29,53,3971,102.5,106.5,-4.0,15.5,26.5,75.2,51.8,16.4,97.90,'14-15
25,26,Orlando Magic,82,25,57,3951,99.6,105.2,-5.6,16.2,23.1,76.0,49.0,15.5,95.90,'14-15
26,27,Los Angeles Lakers,82,21,61,3986,100.8,108.0,-7.2,15.9,25.4,76.3,49.8,13.6,96.30,'14-15
27,28,Philadelphia 76ers,82,18,64,3961,93.0,102.1,-9.1,15.5,25.5,73.0,48.1,17.9,98.30,'14-15
28,29,New York Knicks,82,17,65,3971,97.1,107.2,-10.1,16.7,24.5,73.1,48.1,15.5,93.70,'14-15
29,30,Minnesota Timberwolves,82,16,66,3961,99.8,109.6,-9.8,16.3,26.6,71.6,48.4,15.3,97.00,'14-15
0,1,Golden State Warriors,82,73,9,3976,112.5,100.9,11.6,20.4,23.5,76.0,51.3,14.9,101.60,'15-16
1,2,San Antonio Spurs,82,67,15,3941,108.4,96.6,11.8,18.8,23.0,79.1,52.0,13.7,95.70,'15-16
2,3,Cleveland Cavaliers,82,57,25,3971,108.1,102.3,5.8,17.4,25.1,78.5,52.0,14.1,95.50,'15-16
3,4,Toronto Raptors,82,56,26,3956,107.0,102.7,4.3,14.9,24.6,77.7,51.6,13.6,95.30,'15-16
4,5,Oklahoma City Thunder,82,55,27,3966,109.9,103.0,6.9,16.7,31.1,76.0,54.7,15.9,99.40,'15-16
5,6,LA Clippers,82,53,29,3966,106.5,100.9,5.5,17.4,20.1,73.8,47.4,13.2,98.00,'15-16
6,7,Boston Celtics,82,48,34,3956,103.9,100.9,3.0,17.4,25.1,74.6,49.4,13.5,101.10,'15-16
7,7,Atlanta Hawks,82,48,34,3966,103.0,98.8,4.1,19.0,19.1,74.6,47.5,15.0,99.40,'15-16
8,7,Charlotte Hornets,82,48,34,3971,105.1,101.8,3.3,16.7,20.0,79.8,49.6,12.7,97.80,'15-16
9,7,Miami Heat,82,48,34,3966,104.2,101.5,2.6,16.3,23.8,77.8,51.7,14.7,95.70,'15-16
10,11,Indiana Pacers,82,45,37,3976,102.4,100.2,2.2,16.1,23.4,76.0,49.8,14.9,99.00,'15-16
11,12,Portland Trail Blazers,82,44,38,3961,106.1,105.6,0.6,16.0,25.9,76.2,51.0,14.8,98.30,'15-16
12,12,Detroit Pistons,82,44,38,3976,103.3,103.4,-0.2,14.8,27.0,79.3,52.1,13.7,97.40,'15-16
13,14,Chicago Bulls,82,42,40,3981,102.1,103.9,-1.8,17.0,24.5,74.9,50.2,14.0,98.20,'15-16
14,14,Dallas Mavericks,82,42,40,4001,104.8,104.3,0.6,17.0,20.6,76.2,48.5,13.1,96.40,'15-16
15,14,Memphis Grizzlies,82,42,40,3966,102.6,105.4,-2.9,16.0,25.3,75.1,49.1,13.8,95.70,'15-16
16,17,Washington Wizards,82,41,41,3951,102.9,103.6,-0.7,18.1,20.6,77.7,48.6,14.3,100.60,'15-16
17,17,Houston Rockets,82,41,41,3966,105.5,105.6,-0.2,16.4,25.7,72.8,49.1,15.8,100.10,'15-16
18,19,Utah Jazz,82,40,42,3991,103.1,101.6,1.6,15.1,25.9,77.7,51.9,15.8,93.30,'15-16
19,20,Orlando Magic,82,35,47,3981,102.6,104.6,-2.0,17.6,23.1,76.5,49.4,14.2,98.20,'15-16
20,21,Sacramento Kings,82,33,49,3961,103.3,106.3,-3.0,17.6,23.9,74.9,49.6,15.7,102.20,'15-16
21,21,Denver Nuggets,82,33,49,3966,102.7,106.4,-3.7,16.9,25.8,77.3,51.1,14.8,98.20,'15-16
22,21,Milwaukee Bucks,82,33,49,3966,102.2,105.7,-3.5,17.6,24.9,73.1,49.2,15.7,96.60,'15-16
23,24,New York Knicks,82,32,50,3961,102.0,104.8,-2.8,16.0,23.7,75.8,50.1,13.9,95.80,'15-16
24,25,New Orleans Pelicans,82,30,52,3956,103.2,107.3,-4.1,16.8,21.2,78.8,49.0,13.5,98.90,'15-16
25,26,Minnesota Timberwolves,82,29,53,3976,104.3,107.1,-2.8,17.6,24.3,74.7,49.8,15.3,97.60,'15-16
26,27,Phoenix Suns,82,23,59,3941,99.4,107.0,-7.6,15.4,25.4,77.1,50.6,16.9,100.90,'15-16
27,28,Brooklyn Nets,82,21,61,3951,100.9,108.5,-7.6,17.0,24.1,75.7,49.4,15.1,97.40,'15-16
28,29,Los Angeles Lakers,82,17,65,3946,98.6,109.3,-10.7,14.1,23.1,74.7,48.0,13.9,98.00,'15-16
29,30,Philadelphia 76ers,82,10,72,3961,96.6,106.7,-10.0,16.3,20.6,74.0,46.4,16.2,100.20,'15-16
0,1,Golden State Warriors,82,67,15,3956,113.2,101.1,12.1,21.2,22.8,74.9,50.5,14.4,102.20,'16-17
1,2,San Antonio Spurs,82,61,21,3961,108.8,100.9,7.9,18.1,24.0,77.6,51.4,13.9,96.40,'16-17
2,3,Houston Rockets,82,55,27,3956,111.8,106.4,5.4,18.1,24.6,75.8,50.2,14.7,102.50,'16-17
3,4,Boston Celtics,82,53,29,3951,108.6,105.5,3.1,18.8,21.2,75.3,48.5,13.3,99.30,'16-17
4,5,Cleveland Cavaliers,82,51,31,3976,110.9,108.0,2.9,17.1,21.9,75.8,49.7,13.7,98.40,'16-17
5,5,LA Clippers,82,51,31,3951,110.3,105.8,4.5,17.2,21.5,76.9,49.9,13.1,98.20,'16-17
6,5,Toronto Raptors,82,51,31,3956,109.8,104.9,4.9,14.5,25.0,76.3,50.7,13.0,97.10,'16-17
7,5,Utah Jazz,82,51,31,3951,107.4,102.7,4.7,16.2,23.2,78.9,51.8,14.5,93.60,'16-17
8,9,Washington Wizards,82,49,33,3971,108.5,106.9,1.6,17.6,24.1,75.5,49.9,14.1,99.70,'16-17
9,10,Oklahoma City Thunder,82,47,35,3961,105.0,105.1,-0.2,15.5,27.9,79.0,53.4,14.8,100.50,'16-17
10,11,Atlanta Hawks,82,43,39,3976,102.3,103.1,-0.8,17.4,23.6,76.1,50.3,15.7,99.80,'16-17
11,11,Memphis Grizzlies,82,43,39,3981,104.7,104.5,0.1,16.5,24.8,77.5,50.4,13.5,94.70,'16-17
12,13,Indiana Pacers,82,42,40,3971,106.2,106.3,-0.1,17.2,21.2,75.5,48.7,13.9,98.10,'16-17
13,13,Milwaukee Bucks,82,42,40,3956,106.9,106.4,0.5,18.5,21.5,75.4,48.8,14.4,96.70,'16-17
14,15,Portland Trail Blazers,82,41,41,3986,107.8,107.8,0.0,16.0,23.0,76.8,49.8,13.7,99.10,'16-17
15,15,Chicago Bulls,82,41,41,3956,104.6,104.5,0.1,16.8,27.0,76.8,51.7,13.8,97.70,'16-17
16,15,Miami Heat,82,41,41,3956,105.2,104.1,1.0,16.3,24.2,76.4,50.0,13.7,97.60,'16-17
17,18,Denver Nuggets,82,40,42,3951,110.0,110.5,-0.5,18.2,27.3,78.7,53.2,14.7,100.70,'16-17
18,19,Detroit Pistons,82,37,45,3961,103.3,105.3,-2.0,16.1,24.1,81.2,51.6,12.1,97.10,'16-17
19,20,Charlotte Hornets,82,36,46,3966,106.4,106.1,0.3,17.6,19.9,79.6,49.5,11.7,97.80,'16-17
20,21,New Orleans Pelicans,82,34,48,3981,103.3,104.9,-1.6,17.1,18.5,76.8,47.5,12.7,100.10,'16-17
21,22,Dallas Mavericks,82,33,49,3956,103.7,106.3,-2.6,16.8,18.1,77.6,46.4,12.6,94.20,'16-17
22,23,Sacramento Kings,82,32,50,3976,104.6,109.1,-4.5,17.3,21.0,76.3,48.9,14.9,97.10,'16-17
23,24,New York Knicks,82,31,51,3971,104.7,108.7,-4.1,16.3,26.6,74.1,50.3,13.9,98.60,'16-17
24,24,Minnesota Timberwolves,82,31,51,3961,108.1,109.1,-1.0,17.7,27.2,75.9,51.2,14.4,97.10,'16-17
25,26,Orlando Magic,82,29,53,3961,101.2,108.0,-6.8,16.8,21.6,77.4,48.7,13.3,99.10,'16-17
26,27,Philadelphia 76ers,82,28,54,3966,100.7,106.4,-5.7,17.4,22.4,75.3,48.8,16.4,101.00,'16-17
27,28,Los Angeles Lakers,82,26,56,3941,103.4,110.6,-7.2,15.6,25.0,75.8,49.5,15.0,100.80,'16-17
28,29,Phoenix Suns,82,24,58,3966,103.9,109.3,-5.4,14.4,26.0,76.4,50.5,14.9,102.90,'16-17
29,30,Brooklyn Nets,82,20,62,3951,101.9,108.0,-6.1,15.9,19.6,76.1,48.2,15.9,103.60,'16-17
0,1,Houston Rockets,82,65,17,3951,112.2,103.8,8.5,16.4,21.3,79.9,50.8,13.8,99.70,'17-18
1,2,Toronto Raptors,82,59,23,3966,111.0,103.4,7.6,17.9,23.0,77.7,50.9,13.3,99.80,'17-18
2,3,Golden State Warriors,82,58,24,3946,112.3,104.2,8.1,20.9,21.1,76.3,50.6,15.3,101.80,'17-18
3,4,Boston Celtics,82,55,27,3961,105.3,101.5,3.7,17.0,21.5,78.4,50.3,14.2,98.20,'17-18
4,5,Philadelphia 76ers,82,52,30,3956,107.4,102.0,5.4,19.1,25.3,78.6,52.9,16.1,102.20,'17-18
5,6,Cleveland Cavaliers,82,50,32,3946,110.6,109.5,1.0,17.5,20.1,77.3,49.1,13.7,100.10,'17-18
6,7,Portland Trail Blazers,82,49,33,3951,106.1,104.2,1.9,15.0,23.3,79.1,51.4,13.6,98.80,'17-18
7,8,New Orleans Pelicans,82,48,34,3991,107.7,105.6,2.1,19.0,20.0,76.7,49.4,14.4,102.70,'17-18
8,8,Oklahoma City Thunder,82,48,34,3966,107.6,104.7,2.9,15.8,27.7,77.4,51.7,14.0,99.20,'17-18
9,8,Indiana Pacers,82,48,34,3951,107.2,105.6,1.6,16.8,22.7,76.2,49.6,13.5,98.20,'17-18
10,8,Utah Jazz,82,48,34,3951,106.2,101.6,4.6,17.1,21.5,79.8,51.0,15.0,97.80,'17-18
11,12,Minnesota Timberwolves,82,47,35,3961,110.8,108.4,2.4,17.0,24.4,76.4,50.1,12.6,98.30,'17-18
12,12,San Antonio Spurs,82,47,35,3946,105.5,102.4,3.1,17.3,23.7,78.6,51.0,13.5,97.20,'17-18
13,14,Denver Nuggets,82,46,36,3976,109.6,108.8,0.8,18.2,25.7,77.5,51.7,14.9,99.10,'17-18
14,15,Milwaukee Bucks,82,44,38,3966,107.8,107.1,0.7,17.7,20.4,75.9,48.3,14.0,98.50,'17-18
15,15,Miami Heat,82,44,38,3986,104.5,104.0,0.5,17.1,21.5,79.0,50.2,14.5,97.80,'17-18
16,17,Washington Wizards,82,43,39,3971,106.9,106.2,0.7,18.4,23.5,77.1,50.3,14.6,98.90,'17-18
17,18,LA Clippers,82,42,40,3941,107.7,107.7,0.0,16.5,23.5,76.1,50.1,14.5,101.10,'17-18
18,19,Detroit Pistons,82,39,43,3961,104.9,104.8,0.0,17.1,22.7,78.5,50.0,13.6,98.40,'17-18
19,20,Charlotte Hornets,82,36,46,3956,107.0,107.0,0.0,16.1,22.2,80.7,51.0,12.5,100.50,'17-18
20,21,Los Angeles Lakers,82,35,47,3981,104.2,105.6,-1.4,17.0,23.6,77.7,50.9,15.2,102.60,'17-18
21,22,New York Knicks,82,29,53,3966,104.1,108.4,-4.3,17.2,24.1,76.7,50.5,14.7,99.20,'17-18
22,23,Brooklyn Nets,82,28,54,3971,104.3,108.5,-4.2,17.3,21.0,77.0,48.7,14.9,101.10,'17-18
23,24,Chicago Bulls,82,27,55,3971,101.3,109.1,-7.8,17.3,20.6,80.6,49.4,13.8,100.30,'17-18
24,24,Sacramento Kings,82,27,55,3951,101.1,109.0,-7.9,16.6,21.4,77.6,48.3,14.0,97.10,'17-18
25,26,Orlando Magic,82,25,57,3946,102.8,107.7,-4.9,17.5,20.0,75.6,47.6,14.4,100.30,'17-18
26,27,Atlanta Hawks,82,24,58,3941,102.4,108.2,-5.8,17.6,21.1,76.2,48.7,15.4,100.60,'17-18
27,27,Dallas Mavericks,82,24,58,3961,104.1,107.4,-3.3,17.3,18.0,78.9,47.4,12.5,97.50,'17-18
28,29,Memphis Grizzlies,82,22,60,3941,101.8,108.4,-6.6,16.6,22.4,76.5,48.8,15.3,97.30,'17-18
29,30,Phoenix Suns,82,21,61,3941,100.8,110.6,-9.7,15.6,22.5,76.5,49.0,15.3,102.60,'17-18
0,1,Milwaukee Bucks,82,60,22,3956,111.5,103.0,8.5,18.3,20.8,80.3,52.3,13.1,105.40,'18-19
1,2,Toronto Raptors,82,58,24,3976,110.9,104.3,6.5,18.2,21.9,77.1,50.2,13.6,102.50,'18-19
2,3,Golden State Warriors,82,57,25,3961,113.9,106.5,7.5,20.4,22.5,77.1,51.0,13.8,103.20,'18-19
3,4,Denver Nuggets,82,54,28,3946,109.8,106.8,3.0,19.3,26.6,78.0,52.2,13.3,100.10,'18-19
4,5,Portland Trail Blazers,82,53,29,3971,111.4,108.1,3.3,16.6,26.6,77.9,52.8,13.5,101.60,'18-19
5,5,Houston Rockets,82,53,29,3966,112.5,107.9,4.6,15.9,22.8,74.4,48.1,13.2,100.40,'18-19
6,7,Philadelphia 76ers,82,51,31,3961,110.4,107.1,3.3,18.7,24.5,78.6,52.3,14.3,104.00,'18-19
7,8,Utah Jazz,82,50,32,3951,108.8,103.2,5.5,18.5,22.9,80.3,52.1,14.7,102.50,'18-19
8,9,Oklahoma City Thunder,82,49,33,3971,107.6,104.7,2.9,16.3,26.0,78.2,51.3,13.1,105.30,'18-19
9,9,Boston Celtics,82,49,33,3956,110.1,104.9,5.1,18.8,21.6,77.0,49.3,12.6,102.00,'18-19
10,11,LA Clippers,82,48,34,3966,109.7,109.0,0.7,17.1,22.0,76.0,49.9,13.9,104.10,'18-19
11,11,Indiana Pacers,82,48,34,3941,107.3,104.2,3.1,18.9,21.9,76.2,49.6,13.6,100.40,'18-19
12,11,San Antonio Spurs,82,48,34,3961,111.1,108.3,2.8,18.1,21.0,79.4,50.5,12.0,100.40,'18-19
13,14,Brooklyn Nets,82,42,40,3996,106.9,107.0,-0.1,16.9,23.8,76.4,50.2,14.4,103.40,'18-19
14,14,Orlando Magic,82,42,40,3956,106.5,105.8,0.8,18.6,22.0,79.7,50.4,13.1,100.30,'18-19
15,16,Detroit Pistons,82,41,41,3971,106.1,106.9,-0.7,16.5,24.8,78.7,50.7,13.7,99.70,'18-19
16,17,Sacramento Kings,82,39,43,3946,108.3,108.7,-0.4,17.7,23.1,75.5,48.6,12.7,105.50,'18-19
17,17,Charlotte Hornets,82,39,43,3966,108.3,110.2,-1.8,17.0,21.7,77.1,48.9,11.9,101.10,'18-19
18,17,Miami Heat,82,39,43,3946,104.6,105.1,-0.6,17.6,24.8,77.6,51.2,14.6,100.70,'18-19
19,20,Los Angeles Lakers,82,37,45,3956,105.2,107.3,-2.1,17.8,22.2,76.4,49.9,14.7,105.50,'18-19
20,21,Minnesota Timberwolves,82,36,46,3966,108.4,110.2,-1.9,17.4,24.6,74.9,49.5,12.6,102.80,'18-19
21,22,New Orleans Pelicans,82,33,49,3951,108.6,110.4,-1.8,18.6,24.1,76.8,50.8,13.9,105.60,'18-19
22,22,Dallas Mavericks,82,33,49,3956,106.6,108.3,-1.7,17.0,22.7,77.5,50.3,13.9,101.40,'18-19
23,22,Memphis Grizzlies,82,33,49,3976,103.8,106.2,-2.4,17.9,20.0,77.6,48.3,14.0,98.80,'18-19
24,25,Washington Wizards,82,32,50,3986,108.6,111.3,-2.7,18.4,21.3,74.1,47.3,13.4,103.70,'18-19
25,26,Atlanta Hawks,82,29,53,3971,105.5,111.2,-5.7,17.7,24.7,76.4,50.0,15.9,106.40,'18-19
26,27,Chicago Bulls,82,22,60,3981,102.5,110.9,-8.4,16.3,19.4,77.3,48.0,13.8,101.10,'18-19
27,28,Phoenix Suns,82,19,63,3976,103.6,112.2,-8.6,17.3,20.5,72.5,46.1,15.0,102.90,'18-19
28,28,Cleveland Cavaliers,82,19,63,3951,105.0,115.1,-10.1,15.6,23.7,77.0,49.2,13.6,98.90,'18-19
29,30,New York Knicks,82,17,65,3956,102.1,110.9,-8.8,14.9,22.1,76.1,48.5,13.7,102.00,'18-19
0,1,Milwaukee Bucks,73,56,17,3519,110.5,100.6,9.9,18.0,20.7,81.6,53.0,14.1,107.20,'19-20
1,2,Toronto Raptors,72,53,19,3476,109.0,102.0,7.0,18.1,21.3,76.7,49.6,14.3,103.30,'19-20
2,3,Los Angeles Lakers,71,52,19,3418,109.6,103.8,5.8,18.0,24.5,78.8,52.0,14.7,103.30,'19-20
3,4,LA Clippers,72,49,23,3476,111.1,105.3,5.7,16.9,23.5,77.6,51.3,13.9,103.90,'19-20
4,5,Boston Celtics,72,48,24,3486,110.4,104.5,6.0,16.7,23.9,77.4,51.0,13.4,101.90,'19-20
5,6,Denver Nuggets,73,46,27,3549,110.1,108.6,1.5,19.1,24.8,76.8,50.9,13.6,99.50,'19-20
6,7,Indiana Pacers,73,45,28,3524,107.9,105.1,2.9,18.9,20.0,76.7,48.6,13.1,101.30,'19-20
7,8,Houston Rockets,72,44,28,3476,110.3,107.4,2.9,15.5,21.0,75.6,48.0,13.7,106.30,'19-20
8,8,Oklahoma City Thunder,72,44,28,3486,108.4,106.3,2.1,16.3,19.3,76.8,48.9,13.4,101.10,'19-20
9,8,Utah Jazz,72,44,28,3471,110.0,107.4,2.6,16.8,21.6,78.9,51.3,14.9,100.80,'19-20
10,8,Miami Heat,73,44,29,3549,110.0,107.2,2.8,18.8,20.3,79.5,51.1,14.6,100.50,'19-20
11,12,Dallas Mavericks,75,43,32,3635,113.7,109.5,4.2,17.7,23.2,77.7,50.8,12.3,101.70,'19-20
12,12,Philadelphia 76ers,73,43,30,3519,109.1,106.3,2.8,18.5,23.9,80.3,52.1,14.0,101.30,'19-20
13,14,Brooklyn Nets,72,35,37,3496,106.0,107.1,-1.1,17.3,23.2,77.8,51.1,14.5,104.00,'19-20
14,14,Portland Trail Blazers,74,35,39,3567,111.1,111.8,-0.7,15.2,22.4,75.3,49.1,12.4,103.20,'19-20
15,16,Memphis Grizzlies,73,34,39,3514,106.9,107.5,-0.6,18.7,23.0,77.8,50.9,14.5,105.30,'19-20
16,16,Phoenix Suns,73,34,39,3519,109.7,108.4,1.4,19.2,22.2,78.8,50.1,14.2,103.70,'19-20
17,18,Orlando Magic,73,33,40,3514,106.1,107.1,-1.0,17.5,22.3,79.1,49.8,12.7,100.90,'19-20
18,19,San Antonio Spurs,71,32,39,3443,110.4,110.9,-0.5,17.9,20.1,79.2,49.6,12.2,102.60,'19-20
19,20,Sacramento Kings,72,31,41,3491,107.8,109.6,-1.8,17.4,21.9,78.4,49.5,14.2,101.20,'19-20
20,21,New Orleans Pelicans,72,30,42,3486,108.0,109.4,-1.4,18.4,24.2,77.8,50.9,15.3,106.30,'19-20
21,22,Washington Wizards,72,25,47,3471,108.2,112.7,-4.5,17.6,22.2,75.3,47.7,13.4,105.20,'19-20
22,23,Charlotte Hornets,65,23,42,3150,103.9,110.6,-6.8,17.7,23.9,74.4,48.2,14.7,98.10,'19-20
23,24,Chicago Bulls,65,22,43,3135,104.1,107.7,-3.6,16.9,22.8,75.6,47.9,15.1,101.90,'19-20
24,25,New York Knicks,66,21,45,3193,103.8,110.6,-6.8,16.0,25.8,78.3,51.3,14.1,100.90,'19-20
25,26,Atlanta Hawks,67,20,47,3256,104.3,112.3,-8.0,16.9,21.6,74.9,47.9,15.1,105.60,'19-20
26,26,Detroit Pistons,66,20,46,3193,106.1,110.4,-4.3,17.7,22.6,75.9,48.9,15.1,99.90,'19-20
27,28,Minnesota Timberwolves,64,19,45,3112,105.3,110.0,-4.7,16.7,22.1,77.2,48.6,14.2,105.90,'19-20
28,28,Cleveland Cavaliers,65,19,46,3145,104.4,113.6,-9.2,16.8,24.6,77.4,50.8,16.1,100.90,'19-20
29,30,Golden State Warriors,65,15,50,3145,102.9,110.9,-8.0,18.2,21.5,76.4,48.0,14.4,102.70,'19-20
0,1,Utah Jazz,72,52,20,3471,115.1,105.7,9.4,17.3,24.5,79.3,53.1,14.0,100.80,'20-21
1,2,Phoenix Suns,72,51,21,3496,114.9,108.8,6.1,19.6,20.8,78.5,50.1,12.5,99.30,'20-21
2,3,Philadelphia 76ers,72,49,23,3486,110.8,105.1,5.7,17.2,23.2,78.2,51.2,14.1,101.80,'20-21
3,4,Brooklyn Nets,72,48,24,3481,116.3,110.6,5.7,19.3,21.4,77.3,50.8,13.3,101.80,'20-21
4,5,Denver Nuggets,72,47,25,3496,114.2,110.0,4.2,19.3,24.7,78.9,51.9,13.4,99.30,'20-21
5,5,LA Clippers,72,47,25,3456,115.2,108.7,6.6,18.1,22.7,79.1,51.7,13.3,99.10,'20-21
6,7,Milwaukee Bucks,72,46,26,3466,114.7,109.1,5.5,18.0,23.3,79.7,52.6,13.2,104.40,'20-21
7,8,Portland Trail Blazers,72,42,30,3461,114.9,113.4,1.5,15.9,23.0,77.5,49.5,11.0,100.80,'20-21
8,8,Los Angeles Lakers,72,42,30,3491,107.5,104.8,2.7,18.0,22.5,79.7,51.3,14.9,100.80,'20-21
9,8,Dallas Mavericks,72,42,30,3461,112.9,110.4,2.5,17.2,21.1,77.8,49.6,12.1,99.50,'20-21
10,11,Atlanta Hawks,72,41,31,3481,113.0,110.6,2.5,17.6,24.4,77.8,51.7,13.2,99.90,'20-21
11,11,New York Knicks,72,41,31,3486,108.2,105.7,2.5,16.3,21.9,78.6,50.6,13.1,98.20,'20-21
12,13,Miami Heat,72,40,32,3476,109.1,108.5,0.6,19.5,19.4,77.9,49.2,14.2,98.70,'20-21
13,14,Golden State Warriors,72,39,33,3461,108.8,107.7,1.1,19.6,17.9,76.6,47.6,14.4,104.40,'20-21
14,15,Memphis Grizzlies,72,38,34,3481,109.7,108.5,1.2,18.9,24.2,78.3,51.0,12.9,102.60,'20-21
