,#,player,team,age,gp,w,l,min,offrtg,defrtg,netrtg,ast%,ast/to,ast ratio,oreb%,dreb%,reb%,to ratio,efg%,ts%,usg%,pace,pie,poss,season
2958,305,Andrew Bynum,LAL,18,46,29,17,7.4,95.6,100.7,-5.1,4.4,0.53,7.6,9.6,13.8,11.6,14.3,40.2,39.4,14.6,94.56,2.0,660,'05-06
2959,305,Michael Bradley,PHI,27,46,24,22,8.0,91.7,100.4,-8.7,8.5,0.89,14.7,10.8,19.0,14.8,16.4,41.1,41.7,12.0,92.88,7.1,715,'05-06
2960,307,Anthony Carter,MIN,31,45,19,26,13.1,99.1,101.9,-2.8,27.7,2.53,33.3,1.6,9.1,5.4,13.2,40.1,46.5,15.7,91.35,7.7,1116,'05-06
2961,307,Jerome James,NYK,30,45,11,34,9.0,90.9,107.5,-16.7,5.8,0.24,6.0,9.7,14.2,11.8,25.4,46.3,49.4,20.5,93.65,0.0,787,'05-06
2962,307,Moochie Norris,NOK,32,45,14,31,9.4,95.2,101.3,-6.1,21.5,1.52,23.4,2.9,10.6,6.7,15.4,42.9,47.9,17.8,89.62,7.1,790,'05-06
2963,307,Scot Pollard,IND,31,45,23,22,17.1,105.5,100.7,4.8,4.6,0.92,11.0,10.0,19.4,14.8,11.9,45.5,49.5,11.5,90.91,7.6,1452,'05-06
2964,311,Antonio Davis,TOR,37,44,16,28,21.4,100.1,110.2,-10.1,3.5,0.41,7.0,9.9,14.3,12.0,17.1,43.2,47.9,13.3,91.49,4.1,1786,'05-06
2965,311,Joe Smith,MIL,30,44,20,24,20.2,105.7,106.5,-0.8,5.8,0.78,7.2,9.5,18.7,13.8,9.3,47.5,53.3,19.8,94.33,9.8,1743,'05-06
2966,313,DJ Mbenga,DAL,25,43,33,10,5.5,98.5,98.7,-0.2,1.4,0.13,2.3,9.0,16.4,12.8,18.2,53.3,53.8,16.2,94.84,5.8,471,'05-06
2967,313,Derek Anderson,MIA,31,43,22,21,24.3,101.4,103.3,-1.9,16.5,1.87,20.0,2.2,12.0,7.3,10.7,42.2,49.6,18.2,90.08,8.3,1964,'05-06
2968,313,Wayne Simien,MIA,23,43,26,17,9.6,91.5,96.7,-5.2,3.1,0.29,4.2,9.5,12.2,10.8,14.5,48.3,54.1,17.1,95.12,6.5,824,'05-06
2969,316,Calbert Cheaney,GSW,34,42,19,23,10.7,93.1,102.2,-9.1,7.4,1.12,12.8,4.1,9.7,6.7,11.5,38.9,41.2,12.6,95.23,4.4,884,'05-06
2970,316,Jamaal Tinsley,IND,28,42,20,22,26.7,100.8,100.2,0.6,33.6,1.94,28.2,3.2,8.7,6.0,14.6,43.0,45.8,21.9,91.87,9.3,2154,'05-06
2971,316,Pape Sow,TOR,24,42,14,28,14.0,100.7,111.3,-10.6,2.2,0.27,4.3,9.3,18.5,13.5,16.1,43.1,49.6,13.5,94.54,3.5,1155,'05-06
2972,316,Pat Burke,PHX,32,42,28,14,8.2,100.1,106.5,-6.4,7.1,0.48,8.6,6.0,13.1,9.8,17.7,50.4,51.7,20.7,100.22,5.1,724,'05-06
2973,320,Eddie Gill,IND,27,41,24,17,3.0,94.0,91.5,2.4,17.6,1.33,15.6,0.0,11.1,5.7,11.7,30.0,40.8,21.5,105.48,5.9,265,'05-06
2974,320,Jackson Vroman,NOK,25,41,22,19,9.9,98.8,95.6,3.2,4.2,0.52,9.2,8.5,14.4,11.4,17.6,39.4,42.8,12.1,91.94,0.9,777,'05-06
2975,320,Lonny Baxter,CHA,27,41,13,28,9.8,101.7,99.6,2.0,1.7,0.20,2.8,11.4,19.8,15.4,14.0,43.3,49.4,15.2,93.59,7.5,783,'05-06
2976,323,Chuck Hayes,HOU,23,40,19,21,13.4,100.3,91.3,9.0,4.4,1.17,9.3,12.2,22.0,16.9,7.9,56.2,58.9,11.6,90.76,13.4,1007,'05-06
2977,323,Darius Miles,POR,24,40,9,31,32.1,97.6,106.1,-8.5,10.6,0.74,9.7,2.0,12.4,7.4,13.1,46.3,48.0,25.3,89.87,8.2,2407,'05-06
2978,323,Darrick Martin,TOR,35,40,14,26,8.5,111.7,103.1,8.6,24.7,3.80,31.5,0.7,5.9,3.3,8.3,43.3,47.4,16.6,94.52,6.3,665,'05-06
2979,323,Jim Jackson,LAL,35,40,27,13,12.8,99.0,99.4,-0.4,9.9,1.00,14.8,2.1,11.2,6.9,14.8,35.0,36.5,16.8,97.57,2.5,1044,'05-06
2980,323,John Edwards,ATL,24,40,11,29,7.4,95.3,109.9,-14.7,2.8,0.42,5.8,6.5,11.1,8.7,14.0,48.4,50.8,12.2,96.00,0.1,591,'05-06
2981,328,Antoine Wright,NJN,22,39,24,15,9.5,89.2,98.1,-8.8,5.7,0.57,9.6,2.4,6.2,4.3,16.8,36.4,38.6,14.2,93.56,-1.3,715,'05-06
2982,328,Kevin Burleson,CHA,27,39,12,27,8.7,91.7,91.1,0.6,24.2,1.92,28.6,1.1,7.1,3.9,14.9,30.7,36.7,15.1,100.53,1.5,709,'05-06
2983,330,Corliss Williamson,SAC,32,37,19,18,9.8,98.1,95.3,2.8,6.8,0.47,8.2,6.5,11.8,9.4,17.5,42.7,50.6,19.6,95.25,4.7,721,'05-06
2984,330,Gordan Giricek,UTA,29,37,18,19,25.8,99.8,103.8,-4.1,12.8,1.00,11.8,1.7,6.4,4.0,11.8,45.7,48.2,22.7,89.78,5.9,1784,'05-06
2985,330,Josh Powell,DAL,23,37,25,12,11.6,104.1,104.3,-0.2,3.4,0.41,6.7,7.7,13.4,10.6,16.4,45.7,54.6,13.2,91.07,5.5,814,'05-06
2986,333,Alan Anderson,CHA,23,36,7,29,15.7,101.8,100.5,1.2,9.3,1.00,12.2,3.9,8.9,6.3,12.2,48.1,52.0,17.8,96.71,6.6,1132,'05-06
2987,333,Bostjan Nachbar,NJN,25,36,20,16,13.9,100.1,100.0,0.1,9.4,1.13,11.8,1.6,11.0,6.2,10.5,40.7,44.8,18.2,91.50,3.8,954,'05-06
