,#,team,gp,w,l,min,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",season
29,30,Milwaukee Bucks,82,15,67,48.5,16.2,12.9,12.7,41.1,17.8,13.2,12.9,42.4,'13-14
0,1,Golden State Warriors,82,67,15,48.1,19.7,12.5,20.9,45.3,15.2,14.2,13.9,41.6,'14-15
1,2,Atlanta Hawks,82,60,22,48.1,18.3,11.0,13.3,41.4,15.7,14.2,11.2,39.4,'14-15
2,3,Houston Rockets,82,56,26,48.3,18.9,13.6,18.7,45.3,18.3,14.0,15.3,44.1,'14-15
3,3,Los Angeles Clippers,82,56,26,48.1,15.7,12.5,14.2,37.4,14.9,12.8,12.3,38.8,'14-15
4,5,Memphis Grizzlies,82,55,27,48.5,16.9,12.9,11.7,47.1,14.1,11.6,13.4,39.0,'14-15
5,5,San Antonio Spurs,82,55,27,48.7,16.1,12.1,11.0,45.0,15.1,11.9,14.1,42.5,'14-15
6,7,Cleveland Cavaliers,82,53,29,48.2,16.0,12.7,11.3,41.0,16.2,12.4,11.8,42.7,'14-15
7,8,Portland Trail Blazers,82,51,31,48.4,14.1,13.4,10.1,37.9,15.1,13.8,13.3,43.1,'14-15
8,9,Chicago Bulls,82,50,32,48.5,13.7,13.8,11.0,41.0,15.3,13.2,13.0,40.8,'14-15
9,9,Dallas Mavericks,82,50,32,48.5,19.3,13.1,16.0,42.7,15.2,14.0,15.9,40.9,'14-15
10,11,Toronto Raptors,82,49,33,48.4,16.3,14.1,11.9,43.0,15.0,14.1,12.4,43.7,'14-15
11,12,Washington Wizards,82,46,36,48.7,15.2,12.0,15.5,41.5,16.3,12.6,11.7,38.3,'14-15
12,13,New Orleans Pelicans,82,45,37,48.2,13.9,13.6,10.7,45.0,14.8,12.9,13.7,46.5,'14-15
13,13,Oklahoma City Thunder,82,45,37,48.4,15.4,15.2,17.0,44.9,16.5,12.8,12.5,42.8,'14-15
14,15,Milwaukee Bucks,82,41,41,48.6,19.2,12.0,15.1,42.8,16.8,13.3,10.7,39.8,'14-15
15,16,Boston Celtics,82,40,42,48.5,17.3,14.0,13.9,41.8,16.2,13.5,10.9,44.6,'14-15
16,17,Phoenix Suns,82,39,43,48.5,17.7,12.6,18.2,42.8,17.2,14.4,15.2,45.3,'14-15
17,18,Brooklyn Nets,82,38,44,48.6,14.3,12.3,9.4,45.1,15.6,14.0,13.8,43.6,'14-15
18,18,Indiana Pacers,82,38,44,48.4,14.2,13.4,9.5,37.1,15.5,11.8,13.0,38.3,'14-15
19,18,Utah Jazz,82,38,44,48.1,15.2,15.1,12.2,41.6,17.4,12.5,12.6,39.5,'14-15
20,21,Miami Heat,82,37,45,48.1,16.0,12.1,9.8,39.6,16.9,13.3,11.4,41.0,'14-15
21,22,Charlotte Hornets,82,33,49,48.5,13.4,12.4,9.2,36.5,12.8,12.6,11.0,38.5,'14-15
22,23,Detroit Pistons,82,32,50,48.4,15.9,14.9,13.4,44.8,15.8,13.5,11.3,43.0,'14-15
23,24,Denver Nuggets,82,30,52,48.5,16.9,14.4,15.0,44.9,16.4,14.1,13.2,42.9,'14-15
24,25,Sacramento Kings,82,29,53,48.4,15.3,14.1,14.9,45.1,18.6,13.6,16.8,43.9,'14-15
25,26,Orlando Magic,82,25,57,48.2,16.4,12.2,11.3,45.1,16.9,11.7,12.3,41.0,'14-15
26,27,Los Angeles Lakers,82,21,61,48.6,14.5,14.2,12.2,40.0,15.9,12.5,15.1,45.1,'14-15
27,28,Philadelphia 76ers,82,18,64,48.3,17.2,13.8,14.8,40.8,20.6,14.0,14.6,41.7,'14-15
28,29,New York Knicks,82,17,65,48.4,14.6,12.4,8.4,33.4,17.1,12.5,12.3,41.1,'14-15
29,30,Minnesota Timberwolves,82,16,66,48.3,17.4,14.1,12.9,41.3,17.4,14.9,14.3,48.0,'14-15
0,1,Golden State Warriors,82,73,9,48.5,17.1,12.2,20.9,44.6,16.6,13.8,14.5,45.1,'15-16
1,2,San Antonio Spurs,82,67,15,48.1,16.1,11.8,10.4,43.6,13.5,10.6,12.1,40.1,'15-16
2,3,Cleveland Cavaliers,82,57,25,48.4,16.3,13.2,11.8,41.0,15.5,11.2,11.2,40.8,'15-16
3,4,Toronto Raptors,82,56,26,48.2,16.7,12.3,11.0,42.1,14.2,11.6,11.0,40.1,'15-16
4,5,Oklahoma City Thunder,82,55,27,48.4,15.1,15.8,17.3,47.7,17.6,13.9,13.2,45.2,'15-16
5,6,LA Clippers,82,53,29,48.4,16.9,10.6,12.9,37.7,14.5,13.8,12.4,41.3,'15-16
6,7,Atlanta Hawks,82,48,34,48.4,18.5,10.7,14.8,43.4,16.0,13.1,11.9,40.9,'15-16
7,7,Boston Celtics,82,48,34,48.2,18.8,14.3,16.3,45.9,14.8,14.2,10.8,43.0,'15-16
8,7,Charlotte Hornets,82,48,34,48.4,15.9,11.4,11.1,37.6,14.1,11.4,12.4,40.0,'15-16
9,7,Miami Heat,82,48,34,48.4,14.8,12.7,11.1,46.4,15.6,13.0,10.7,42.0,'15-16
10,11,Indiana Pacers,82,45,37,48.5,18.9,12.9,13.4,40.9,16.3,13.0,12.2,41.6,'15-16
11,12,Detroit Pistons,82,44,38,48.5,15.4,14.9,11.1,43.5,14.6,10.7,10.4,44.4,'15-16
12,12,Portland Trail Blazers,82,44,38,48.3,14.8,14.1,10.7,39.1,16.3,12.4,11.1,40.9,'15-16
13,14,Chicago Bulls,82,42,40,48.5,13.3,13.6,10.2,41.0,16.0,14.3,13.8,44.4,'15-16
14,14,Dallas Mavericks,82,42,40,48.8,16.0,10.6,11.2,38.0,14.8,13.4,16.0,40.9,'15-16
15,14,Memphis Grizzlies,82,42,40,48.4,17.9,12.9,12.6,44.0,15.1,11.8,14.6,38.5,'15-16
16,17,Houston Rockets,82,41,41,48.4,18.9,13.9,18.1,45.7,19.5,14.7,14.4,44.6,'15-16
17,17,Washington Wizards,82,41,41,48.2,17.5,10.6,18.6,42.4,15.7,11.7,12.7,41.2,'15-16
18,19,Utah Jazz,82,40,42,48.7,15.6,13.5,9.3,41.8,16.0,11.5,11.7,39.6,'15-16
19,20,Orlando Magic,82,35,47,48.5,17.8,12.6,12.3,43.6,16.0,11.4,13.2,43.5,'15-16
20,21,Denver Nuggets,82,33,49,48.4,15.7,13.3,14.2,45.9,16.8,12.1,13.0,43.1,'15-16
21,21,Milwaukee Bucks,82,33,49,48.4,18.5,12.1,13.8,50.6,17.7,14.1,13.0,44.0,'15-16
22,21,Sacramento Kings,82,33,49,48.3,17.5,13.0,17.3,49.5,18.6,13.6,15.0,43.6,'15-16
23,24,New York Knicks,82,32,50,48.3,11.8,13.1,8.4,35.8,15.4,12.7,12.8,43.1,'15-16
24,25,New Orleans Pelicans,82,30,52,48.2,15.0,11.5,12.4,41.4,14.9,11.3,11.7,43.2,'15-16
25,26,Minnesota Timberwolves,82,29,53,48.5,16.4,13.0,13.6,44.1,17.8,13.2,13.4,46.1,'15-16
26,27,Phoenix Suns,82,23,59,48.1,16.5,14.0,14.4,41.4,20.2,12.6,17.3,43.8,'15-16
27,28,Brooklyn Nets,82,21,61,48.2,15.0,12.6,11.5,46.2,18.3,12.1,14.5,47.9,'15-16
28,29,Los Angeles Lakers,82,17,65,48.1,13.6,13.0,12.2,38.1,16.5,14.3,17.0,47.8,'15-16
29,30,Philadelphia 76ers,82,10,72,48.3,16.5,11.7,12.2,43.2,20.0,14.7,16.7,45.6,'15-16
0,1,Golden State Warriors,82,67,15,48.2,19.3,12.6,22.6,46.6,16.7,14.0,14.4,45.4,'16-17
1,2,San Antonio Spurs,82,61,21,48.3,17.3,13.0,12.1,39.6,14.7,12.4,12.6,40.8,'16-17
2,3,Houston Rockets,82,55,27,48.2,18.7,14.3,16.7,46.7,17.5,13.8,14.3,49.0,'16-17
3,4,Boston Celtics,82,53,29,48.2,16.4,11.2,12.4,41.8,15.2,13.9,12.2,43.2,'16-17
4,5,Cleveland Cavaliers,82,51,31,48.5,14.6,11.5,12.9,39.5,16.6,13.7,13.3,44.5,'16-17
5,5,LA Clippers,82,51,31,48.2,15.3,11.3,13.9,39.9,15.2,12.7,14.3,42.7,'16-17
6,5,Toronto Raptors,82,51,31,48.2,17.4,13.5,12.2,43.8,14.9,13.1,11.5,41.7,'16-17
7,5,Utah Jazz,82,51,31,48.2,14.7,11.0,8.1,42.8,15.2,10.7,10.5,41.0,'16-17
8,9,Washington Wizards,82,49,33,48.4,17.7,13.0,15.9,45.0,16.4,13.8,12.1,43.9,'16-17
9,10,Oklahoma City Thunder,82,47,35,48.3,15.6,14.8,16.9,49.9,16.9,12.2,11.1,47.5,'16-17
10,11,Atlanta Hawks,82,43,39,48.5,16.3,13.5,12.1,42.7,17.4,13.2,12.8,39.1,'16-17
11,11,Memphis Grizzlies,82,43,39,48.5,16.1,13.0,10.2,40.5,14.8,11.5,14.6,37.8,'16-17
12,13,Indiana Pacers,82,42,40,48.4,16.6,11.4,10.6,41.9,16.2,12.9,10.6,39.7,'16-17
13,13,Milwaukee Bucks,82,42,40,48.2,17.3,11.1,13.8,48.6,16.2,12.7,11.7,43.7,'16-17
14,15,Chicago Bulls,82,41,41,48.2,15.6,15.1,13.8,43.3,15.5,11.9,13.7,45.2,'16-17
15,15,Miami Heat,82,41,41,48.2,15.9,13.6,11.1,45.1,13.9,12.8,10.3,44.5,'16-17
16,15,Portland Trail Blazers,82,41,41,48.6,14.6,12.6,11.3,42.4,15.7,12.6,12.7,42.9,'16-17
17,18,Denver Nuggets,82,40,42,48.2,14.0,15.1,14.2,49.8,18.0,12.2,14.3,47.4,'16-17
18,19,Detroit Pistons,82,37,45,48.3,14.9,13.7,12.0,43.1,12.7,10.1,10.7,41.2,'16-17
19,20,Charlotte Hornets,82,36,46,48.4,14.9,11.8,9.4,39.9,13.1,11.4,12.9,40.5,'16-17
20,21,New Orleans Pelicans,82,34,48,48.5,14.6,10.8,15.0,44.1,15.6,12.4,13.6,44.1,'16-17
21,22,Dallas Mavericks,82,33,49,48.2,15.7,9.8,7.8,32.8,14.0,11.6,13.6,39.5,'16-17
22,23,Sacramento Kings,82,32,50,48.5,16.3,11.0,10.7,43.0,17.4,12.5,14.7,40.7,'16-17
23,24,Minnesota Timberwolves,82,31,51,48.3,16.7,14.8,12.8,45.7,17.2,13.4,13.9,46.2,'16-17
24,24,New York Knicks,82,31,51,48.4,14.4,14.9,10.9,40.4,16.5,14.7,14.0,46.1,'16-17
25,26,Orlando Magic,82,29,53,48.3,15.0,12.5,14.0,42.2,15.9,13.3,13.0,46.6,'16-17
26,27,Philadelphia 76ers,82,28,54,48.4,17.3,13.3,12.9,44.3,18.5,13.4,15.3,45.1,'16-17
27,28,Los Angeles Lakers,82,26,56,48.1,17.4,13.5,15.2,47.7,18.0,13.3,16.2,47.4,'16-17
28,29,Phoenix Suns,82,24,58,48.4,17.7,14.9,19.4,47.5,18.1,13.5,16.0,44.0,'16-17
29,30,Brooklyn Nets,82,20,62,48.2,15.0,11.5,14.0,45.9,19.1,14.3,14.0,45.0,'16-17
0,1,Houston Rockets,82,65,17,48.2,17.4,11.5,11.4,40.7,15.8,11.9,11.9,48.0,'17-18
1,2,Toronto Raptors,82,59,23,48.4,17.2,13.0,13.3,48.6,15.0,13.2,11.6,45.3,'17-18
2,3,Golden State Warriors,82,58,24,48.1,17.3,10.3,19.3,44.1,18.5,13.7,14.1,47.4,'17-18
3,4,Boston Celtics,82,55,27,48.3,15.4,12.1,9.5,39.8,15.6,11.2,10.4,43.8,'17-18
4,5,Philadelphia 76ers,82,52,30,48.2,16.9,13.7,11.5,47.2,18.5,12.3,10.3,41.6,'17-18
5,6,Cleveland Cavaliers,82,50,32,48.1,16.1,11.2,12.5,44.2,16.5,12.7,11.3,47.0,'17-18
6,7,Portland Trail Blazers,82,49,33,48.2,14.0,13.5,8.1,43.0,14.9,11.7,11.3,42.1,'17-18
7,8,Indiana Pacers,82,48,34,48.2,18.3,11.9,14.8,44.7,14.8,12.8,12.3,44.8,'17-18
8,8,New Orleans Pelicans,82,48,34,48.7,16.3,11.9,15.3,52.4,17.3,13.8,14.2,47.7,'17-18
9,8,Oklahoma City Thunder,82,48,34,48.4,18.7,15.0,15.2,43.9,14.4,12.8,11.2,43.5,'17-18
10,8,Utah Jazz,82,48,34,48.2,16.8,11.4,10.2,44.4,16.4,10.8,9.5,41.8,'17-18
11,12,Minnesota Timberwolves,82,47,35,48.3,17.8,13.6,9.7,49.2,15.2,13.0,12.9,45.7,'17-18
12,12,San Antonio Spurs,82,47,35,48.1,16.3,13.4,10.3,43.8,15.0,12.2,12.5,44.1,'17-18
13,14,Denver Nuggets,82,46,36,48.5,16.9,14.0,13.4,49.0,18.7,11.2,13.0,47.3,'17-18
14,15,Miami Heat,82,44,38,48.6,16.5,11.3,9.3,44.9,15.6,11.8,11.0,43.5,'17-18
15,15,Milwaukee Bucks,82,44,38,48.4,18.3,10.5,14.6,47.4,15.8,13.0,10.1,47.3,'17-18
16,17,Washington Wizards,82,43,39,48.4,17.2,12.7,11.6,42.3,17.1,13.1,11.0,45.4,'17-18
17,18,LA Clippers,82,42,40,48.1,15.8,13.9,13.3,52.2,17.4,13.2,15.4,44.8,'17-18
18,19,Detroit Pistons,82,39,43,48.3,16.6,12.6,10.8,43.6,14.9,11.2,9.9,43.6,'17-18
19,20,Charlotte Hornets,82,36,46,48.2,16.1,13.1,9.3,43.7,14.8,10.7,10.7,45.2,'17-18
20,21,Los Angeles Lakers,82,35,47,48.5,16.3,14.2,17.5,51.9,18.2,13.5,12.7,49.0,'17-18
21,22,New York Knicks,82,29,53,48.4,15.1,13.4,8.6,46.7,17.4,13.2,11.4,43.4,'17-18
22,23,Brooklyn Nets,82,28,54,48.4,14.2,12.5,10.7,43.8,17.3,13.6,11.6,47.8,'17-18
23,24,Chicago Bulls,82,27,55,48.4,15.0,11.2,11.8,41.8,16.3,11.2,11.3,44.5,'17-18
24,24,Sacramento Kings,82,27,55,48.2,15.2,11.4,10.4,43.5,15.7,11.6,12.3,42.2,'17-18
25,26,Orlando Magic,82,25,57,48.1,15.6,10.9,12.6,45.6,17.0,12.8,12.9,48.3,'17-18
26,27,Atlanta Hawks,82,24,58,48.1,17.8,12.0,10.4,41.3,17.9,12.9,13.0,44.4,'17-18
27,27,Dallas Mavericks,82,24,58,48.3,14.7,10.4,10.0,38.8,13.9,11.4,14.3,42.2,'17-18
28,29,Memphis Grizzlies,82,22,60,48.1,17.1,11.7,13.2,42.3,17.3,11.8,14.3,42.1,'17-18
29,30,Phoenix Suns,82,21,61,48.1,15.0,12.9,14.4,46.1,18.6,13.2,14.6,47.1,'17-18
0,1,Milwaukee Bucks,82,60,22,48.2,16.7,11.7,17.7,53.3,14.6,12.1,11.0,42.2,'18-19
1,2,Toronto Raptors,82,58,24,48.5,17.2,12.7,18.4,48.5,15.9,12.9,13.5,47.5,'18-19
2,3,Golden State Warriors,82,57,25,48.3,16.3,12.5,19.1,43.2,17.4,13.8,15.1,47.1,'18-19
3,4,Denver Nuggets,82,54,28,48.1,15.7,15.5,12.6,52.1,15.0,12.1,12.2,48.9,'18-19
4,5,Houston Rockets,82,53,29,48.4,18.0,13.1,12.0,42.1,16.3,13.7,13.8,51.8,'18-19
5,5,Portland Trail Blazers,82,53,29,48.4,15.0,15.0,11.0,49.3,15.3,13.7,14.1,47.8,'18-19
6,7,Philadelphia 76ers,82,51,31,48.3,15.3,14.1,15.0,49.4,17.3,12.3,14.7,51.2,'18-19
7,8,Utah Jazz,82,50,32,48.2,16.5,13.3,10.6,49.8,16.9,11.2,11.4,47.7,'18-19
8,9,Boston Celtics,82,49,33,48.2,18.1,12.5,16.2,44.8,14.8,13.5,13.2,45.9,'18-19
9,9,Oklahoma City Thunder,82,49,33,48.4,19.2,15.5,18.2,51.8,16.0,12.5,12.3,48.4,'18-19
10,11,Indiana Pacers,82,48,34,48.1,19.1,13.3,14.6,48.9,14.9,13.3,14.0,44.8,'18-19
11,11,LA Clippers,82,48,34,48.4,15.5,13.1,14.3,51.2,17.7,13.8,14.8,51.1,'18-19
12,11,San Antonio Spurs,82,48,34,48.3,14.1,11.5,10.4,43.2,15.0,12.6,14.1,46.6,'18-19
13,14,Brooklyn Nets,82,42,40,48.7,15.4,13.8,11.6,48.8,17.3,14.4,11.8,51.2,'18-19
14,14,Orlando Magic,82,42,40,48.2,15.2,12.4,10.8,44.0,14.7,10.9,12.7,47.2,'18-19
15,16,Detroit Pistons,82,41,41,48.4,15.8,13.3,10.0,44.8,16.0,11.3,11.9,49.9,'18-19
16,17,Charlotte Hornets,82,39,43,48.4,16.1,13.0,11.7,46.8,13.7,13.4,13.3,49.0,'18-19
17,17,Miami Heat,82,39,43,48.1,15.5,14.1,9.9,48.9,17.1,13.7,12.5,42.3,'18-19
18,17,Sacramento Kings,82,39,43,48.1,19.3,13.7,20.9,51.9,16.4,14.4,14.2,51.2,'18-19
19,20,Los Angeles Lakers,82,37,45,48.2,16.8,12.9,19.3,55.6,18.5,14.0,15.9,50.3,'18-19
20,21,Minnesota Timberwolves,82,36,46,48.4,17.5,15.0,11.7,49.5,15.1,14.8,13.6,48.9,'18-19
21,22,Dallas Mavericks,82,33,49,48.2,14.5,12.9,12.3,44.5,15.6,13.0,16.7,47.7,'18-19
22,22,Memphis Grizzlies,82,33,49,48.5,17.2,11.2,12.3,46.3,16.6,11.6,16.3,42.7,'18-19
23,22,New Orleans Pelicans,82,33,49,48.2,16.1,14.4,14.8,58.2,18.0,13.7,15.7,51.6,'18-19
24,25,Washington Wizards,82,32,50,48.6,17.7,12.4,14.1,50.0,17.0,14.1,14.0,52.1,'18-19
25,26,Atlanta Hawks,82,29,53,48.4,17.0,14.1,15.2,51.1,21.1,14.6,16.5,49.3,'18-19
26,27,Chicago Bulls,82,22,60,48.5,15.2,11.0,12.1,50.8,16.6,13.4,13.0,49.1,'18-19
27,28,Cleveland Cavaliers,82,19,63,48.2,14.4,13.5,10.6,44.5,16.8,12.7,14.0,50.0,'18-19
28,28,Phoenix Suns,82,19,63,48.5,18.2,12.1,15.2,49.8,19.5,15.5,15.8,53.0,'18-19
29,30,New York Knicks,82,17,65,48.2,14.7,13.3,11.1,44.0,16.4,14.1,11.7,50.6,'18-19
0,1,Milwaukee Bucks,73,56,17,48.2,16.6,12.3,18.0,49.3,16.9,11.3,13.6,38.7,'19-20
1,2,Toronto Raptors,72,53,19,48.3,19.5,11.9,18.8,46.8,16.9,13.5,12.7,41.5,'19-20
2,3,Los Angeles Lakers,71,52,19,48.1,19.0,14.1,18.4,52.8,17.4,12.0,16.5,45.8,'19-20
3,4,LA Clippers,72,49,23,48.3,17.9,14.2,13.7,47.7,16.5,12.4,13.3,44.6,'19-20
4,5,Boston Celtics,72,48,24,48.4,17.6,13.3,15.2,47.8,15.1,13.2,13.2,43.4,'19-20
5,6,Denver Nuggets,73,46,27,48.6,16.6,14.2,11.8,49.8,16.2,12.2,12.4,48.2,'19-20
6,7,Indiana Pacers,73,45,28,48.3,17.3,11.8,12.8,49.3,15.0,13.2,13.6,47.6,'19-20
7,8,Houston Rockets,72,44,28,48.3,18.9,12.1,14.6,45.9,17.8,14.1,15.1,51.5,'19-20
8,8,Miami Heat,73,44,29,48.6,16.2,11.8,11.3,43.9,17.9,12.8,11.4,44.1,'19-20
9,8,Oklahoma City Thunder,72,44,28,48.4,16.9,10.7,9.5,45.7,16.0,12.6,10.9,48.4,'19-20
10,8,Utah Jazz,72,44,28,48.2,14.3,12.4,10.5,47.1,17.1,12.1,12.5,47.4,'19-20
11,12,Dallas Mavericks,75,43,32,48.5,14.6,14.5,11.7,44.8,14.3,13.4,16.4,48.8,'19-20
12,12,Philadelphia 76ers,73,43,30,48.2,15.9,13.1,13.5,47.5,16.4,11.6,13.7,48.1,'19-20
13,14,Brooklyn Nets,72,35,37,48.6,14.8,13.6,13.1,49.6,17.0,13.2,13.1,46.4,'19-20
14,14,Portland Trail Blazers,74,35,39,48.2,14.3,12.7,13.2,44.6,14.5,15.5,14.8,47.0,'19-20
15,16,Memphis Grizzlies,73,34,39,48.1,17.1,13.7,17.2,55.9,17.9,13.6,13.9,45.3,'19-20
16,16,Phoenix Suns,73,34,39,48.2,18.5,12.2,14.7,47.8,16.6,12.5,12.7,49.8,'19-20
17,18,Orlando Magic,73,33,40,48.1,17.0,12.7,11.9,45.4,14.3,11.2,11.9,46.3,'19-20
18,19,San Antonio Spurs,71,32,39,48.5,15.7,11.0,13.3,43.6,15.1,13.6,13.0,48.2,'19-20
19,20,Sacramento Kings,72,31,41,48.5,17.4,12.7,12.7,47.0,16.5,11.9,12.1,46.6,'19-20
20,21,New Orleans Pelicans,72,30,42,48.4,16.7,14.5,16.6,49.8,19.6,13.6,15.4,52.2,'19-20
21,22,Washington Wizards,72,25,47,48.2,18.6,13.1,13.4,45.6,16.7,14.4,12.7,51.4,'19-20
22,23,Charlotte Hornets,65,23,42,48.5,16.2,13.4,11.6,46.5,16.8,13.2,11.8,50.5,'19-20
23,24,Chicago Bulls,65,22,43,48.2,21.2,13.3,14.8,49.5,17.8,12.7,12.5,49.6,'19-20
24,25,New York Knicks,66,21,45,48.4,15.7,15.3,9.4,48.6,17.5,12.6,12.8,43.8,'19-20
25,26,Atlanta Hawks,67,20,47,48.6,16.7,13.3,12.9,50.4,19.5,15.0,14.8,53.6,'19-20
26,26,Detroit Pistons,66,20,46,48.4,15.9,13.3,11.0,48.2,17.3,13.2,12.7,52.0,'19-20
27,28,Cleveland Cavaliers,65,19,46,48.4,14.4,13.5,10.5,49.3,20.0,12.7,14.4,53.6,'19-20
28,28,Minnesota Timberwolves,64,19,45,48.6,16.6,13.5,11.3,49.2,17.8,13.5,13.0,51.2,'19-20
29,30,Golden State Warriors,65,15,50,48.4,17.1,11.9,13.8,43.8,18.0,13.5,15.0,48.8,'19-20
0,1,Utah Jazz,72,52,20,48.2,14.1,13.6,11.9,44.2,17.0,12.4,12.1,49.1,'20-21
1,2,Phoenix Suns,72,51,21,48.6,16.1,12.9,13.1,45.3,14.8,12.4,12.0,47.4,'20-21
2,3,Philadelphia 76ers,72,49,23,48.4,18.1,13.9,15.2,47.3,17.2,11.6,14.3,46.0,'20-21
3,4,Brooklyn Nets,72,48,24,48.3,15.8,12.3,14.3,49.2,16.1,15.3,12.1,47.8,'20-21
4,5,Denver Nuggets,72,47,25,48.6,18.0,13.8,12.4,49.7,15.6,11.3,13.4,45.2,'20-21
5,5,LA Clippers,72,47,25,48.0,16.0,13.0,10.3,42.2,15.4,11.8,11.9,47.2,'20-21
6,7,Milwaukee Bucks,72,46,26,48.1,16.3,13.2,14.5,48.8,15.9,13.0,10.7,43.1,'20-21
7,8,Dallas Mavericks,72,42,30,48.1,14.5,12.3,11.4,44.2,14.6,13.1,12.4,45.2,'20-21
8,8,Los Angeles Lakers,72,42,30,48.5,17.4,13.3,13.3,49.9,16.6,11.3,12.2,48.2,'20-21
9,8,Portland Trail Blazers,72,42,30,48.1,14.9,14.6,11.6,39.3,14.1,13.8,13.7,47.3,'20-21
10,11,Atlanta Hawks,72,41,31,48.3,14.7,14.3,10.0,47.8,15.9,13.2,11.8,48.7,'20-21
11,11,New York Knicks,72,41,31,48.4,15.1,12.4,8.9,44.0,15.0,12.2,10.5,43.8,'20-21
12,13,Miami Heat,72,40,32,48.3,17.7,10.1,11.9,44.4,16.7,12.3,10.4,41.3,'20-21
13,14,Golden State Warriors,72,39,33,48.1,17.4,10.5,14.4,45.4,17.5,14.2,13.3,47.3,'20-21
14,15,Memphis Grizzlies,72,38,34,48.3,18.5,15.0,17.3,55.8,16.6,12.4,13.7,47.5,'20-21
15,16,Boston Celtics,72,36,36,48.3,17.8,13.3,11.8,46.3,15.8,13.2,11.8,44.3,'20-21
16,17,Indiana Pacers,72,34,38,48.5,18.0,12.8,16.6,54.0,16.0,15.3,13.7,53.8,'20-21
17,17,Washington Wizards,72,34,38,48.3,18.0,13.0,11.2,52.8,17.6,13.7,10.7,48.2,'20-21
18,19,Charlotte Hornets,72,33,39,48.2,17.7,12.7,13.6,45.9,16.9,13.2,13.2,47.2,'20-21
19,19,San Antonio Spurs,72,33,39,48.6,15.7,12.1,11.7,47.8,14.3,13.3,11.9,50.1,'20-21
20,21,Chicago Bulls,72,31,41,48.3,14.5,13.2,11.5,49.4,17.8,11.6,11.7,48.9,'20-21
21,21,New Orleans Pelicans,72,31,41,48.4,15.3,14.9,14.1,54.4,18.3,11.9,13.0,46.7,'20-21
22,21,Sacramento Kings,72,31,41,48.1,16.4,12.2,14.1,53.3,17.0,14.0,12.6,53.4,'20-21
23,24,Toronto Raptors,72,27,45,48.1,18.6,12.5,13.7,43.6,15.6,13.9,11.6,42.9,'20-21
24,25,Minnesota Timberwolves,72,23,49,48.3,18.6,13.7,12.1,49.3,16.8,14.5,14.0,49.8,'20-21
25,26,Cleveland Cavaliers,72,22,50,48.4,16.3,12.9,11.3,51.0,17.9,12.1,12.9,50.6,'20-21
26,26,Oklahoma City Thunder,72,22,50,48.2,14.2,11.7,9.2,47.7,20.0,13.4,11.6,49.5,'20-21
27,28,Orlando Magic,72,21,51,48.1,13.4,13.2,10.3,41.6,15.8,11.7,14.2,47.2,'20-21
28,29,Detroit Pistons,72,20,52,48.4,16.5,12.7,10.7,47.4,17.3,13.4,11.6,51.3,'20-21
29,30,Houston Rockets,72,17,55,48.1,18.0,12.2,11.1,46.7,17.5,13.1,14.7,50.0,'20-21
0,1,Phoenix Suns,82,64,18,48.1,18.1,12.1,12.5,49.8,14.8,13.6,11.3,45.2,'21-22
1,2,Memphis Grizzlies,82,56,26,48.2,18.3,18.7,17.7,57.6,14.5,13.0,13.2,47.4,'21-22
2,3,Golden State Warriors,82,53,29,48.1,17.6,12.6,13.8,44.7,16.9,12.7,12.3,43.9,'21-22
3,3,Miami Heat,82,53,29,48.4,17.2,12.7,10.9,43.0,16.7,12.6,12.2,41.3,'21-22
4,5,Dallas Mavericks,82,52,30,48.2,14.9,11.0,10.0,42.9,14.4,13.1,12.0,47.1,'21-22
5,6,Boston Celtics,82,51,31,48.5,16.3,13.0,11.1,46.5,15.2,12.5,11.5,42.5,'21-22
6,6,Milwaukee Bucks,82,51,31,48.2,15.1,13.5,13.1,45.0,15.6,12.9,11.5,43.7,'21-22
7,6,Philadelphia 76ers,82,51,31,48.3,15.7,11.3,12.2,45.0,14.9,13.0,15.0,46.7,'21-22
8,9,Utah Jazz,82,49,33,48.1,14.7,14.9,10.1,47.9,16.5,12.9,11.9,45.3,'21-22
9,10,Denver Nuggets,82,48,34,48.3,15.6,12.5,13.5,49.3,17.3,11.4,12.5,49.9,'21-22
10,10,Toronto Raptors,82,48,34,48.4,19.0,16.5,15.8,47.1,14.3,13.9,11.7,45.1,'21-22
11,12,Chicago Bulls,82,46,36,48.1,16.4,11.1,12.7,45.8,15.3,12.7,12.0,49.6,'21-22
12,12,Minnesota Timberwolves,82,46,36,48.2,19.8,14.8,15.2,47.7,16.2,14.1,14.1,46.1,'21-22
13,14,Brooklyn Nets,82,44,38,48.2,15.7,13.7,13.7,46.0,17.2,13.7,14.0,47.3,'21-22
14,14,Cleveland Cavaliers,82,44,38,48.1,15.8,12.6,11.2,48.4,17.4,12.5,12.2,46.6,'21-22
15,16,Atlanta Hawks,82,43,39,48.1,15.6,12.2,9.7,45.7,15.1,12.7,12.2,48.0,'21-22
16,16,Charlotte Hornets,82,43,39,48.5,18.6,13.5,16.3,51.4,16.3,15.0,13.9,48.1,'21-22
17,18,LA Clippers,82,42,40,48.2,15.4,10.9,11.9,43.4,16.5,15.0,13.0,50.1,'21-22
18,19,New York Knicks,82,37,45,48.2,15.6,14.5,10.6,41.5,15.4,12.3,11.3,43.2,'21-22
