,#,team,gp,w,l,min,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",season
21,22,Atlanta Hawks,82,35,47,48.5,14.2,13.3,12.7,35.0,19.0,14.7,13.2,39.1,'02-03
22,23,Chicago Bulls,82,30,52,48.6,15.0,13.7,12.3,44.0,18.6,14.3,12.6,39.1,'02-03
23,24,Memphis Grizzlies,82,28,54,48.6,16.0,13.8,16.1,41.4,16.8,15.3,13.8,45.5,'02-03
24,25,Los Angeles Clippers,82,27,55,48.2,15.1,13.7,11.9,42.9,17.2,14.8,9.9,40.4,'02-03
25,26,Miami Heat,82,25,57,48.4,14.7,12.8,9.9,31.5,15.0,11.9,10.4,35.3,'02-03
26,27,Toronto Raptors,82,24,58,48.3,13.9,14.1,15.1,35.0,15.9,14.2,18.3,43.2,'02-03
27,28,Cleveland Cavaliers,82,17,65,48.4,15.2,14.8,14.1,39.4,20.3,13.1,16.3,39.5,'02-03
28,28,Denver Nuggets,82,17,65,48.1,16.7,13.9,11.3,37.6,19.4,11.3,13.9,35.0,'02-03
0,1,Indiana Pacers,82,61,21,48.3,17.1,13.5,10.8,35.3,14.9,11.4,11.7,35.6,'03-04
1,2,Minnesota Timberwolves,82,58,24,48.2,14.8,12.4,10.9,32.5,13.1,13.1,11.0,35.3,'03-04
2,3,San Antonio Spurs,82,57,25,48.2,16.3,14.1,9.3,39.4,14.5,11.9,10.6,36.4,'03-04
3,4,Los Angeles Lakers,82,56,26,48.4,16.6,13.9,11.3,44.0,14.5,13.1,11.0,37.7,'03-04
4,5,Sacramento Kings,82,55,27,48.2,17.0,12.7,12.2,36.8,15.1,14.1,13.2,42.6,'03-04
5,6,Detroit Pistons,82,54,28,48.2,16.6,12.4,12.3,38.7,14.6,12.7,10.3,33.7,'03-04
6,7,Dallas Mavericks,82,52,30,48.3,17.2,15.9,17.5,45.4,13.9,13.2,14.4,44.0,'03-04
7,8,Memphis Grizzlies,82,50,32,48.5,19.3,14.1,16.4,44.7,15.5,15.0,13.1,41.4,'03-04
8,9,New Jersey Nets,82,47,35,48.1,16.8,11.2,15.6,38.7,15.5,11.4,11.0,33.1,'03-04
9,10,Houston Rockets,82,45,37,48.6,14.4,11.7,7.8,32.9,17.1,12.4,10.3,30.3,'03-04
10,11,Denver Nuggets,82,43,39,48.1,18.3,13.3,19.9,42.0,16.4,14.2,14.0,42.9,'03-04
11,12,Miami Heat,82,42,40,48.2,15.9,13.1,12.5,35.2,15.2,12.2,9.9,33.5,'03-04
12,12,Utah Jazz,82,42,40,48.2,16.5,14.2,11.8,35.9,17.0,11.7,11.5,32.2,'03-04
13,14,Milwaukee Bucks,82,41,41,48.2,14.9,13.1,12.6,41.0,14.8,13.4,13.2,40.6,'03-04
14,14,New Orleans Hornets,82,41,41,48.4,17.0,14.6,12.9,34.5,16.1,13.1,11.5,37.4,'03-04
15,14,Portland Trail Blazers,82,41,41,48.7,14.8,14.4,10.6,39.8,16.5,13.8,12.2,38.9,'03-04
16,17,New York Knicks,82,39,43,48.5,14.0,12.3,8.8,34.5,17.0,12.6,10.7,34.7,'03-04
17,18,Golden State Warriors,82,37,45,48.4,15.4,13.5,8.6,40.5,15.3,13.4,12.2,38.7,'03-04
18,18,Seattle SuperSonics,82,37,45,48.3,16.7,12.7,13.1,36.1,17.2,15.2,13.5,39.0,'03-04
19,20,Boston Celtics,82,36,46,48.1,18.4,12.2,11.9,35.1,17.6,14.7,12.1,35.5,'03-04
20,21,Cleveland Cavaliers,82,35,47,48.4,14.6,15.7,12.9,41.9,15.7,13.4,13.1,38.1,'03-04
21,22,Philadelphia 76ers,82,33,49,48.4,15.3,12.1,13.4,35.8,16.8,13.3,11.9,36.6,'03-04
22,22,Toronto Raptors,82,33,49,48.7,15.2,11.3,9.3,30.3,14.5,13.9,11.3,37.7,'03-04
23,24,Phoenix Suns,82,29,53,48.1,17.4,12.2,13.2,42.4,17.0,15.0,11.2,40.0,'03-04
24,25,Atlanta Hawks,82,28,54,48.5,14.9,13.0,12.2,37.2,18.9,14.0,13.7,40.0,'03-04
25,25,Los Angeles Clippers,82,28,54,48.3,15.1,16.4,9.0,42.5,18.7,14.4,11.1,42.7,'03-04
26,27,Washington Wizards,82,25,57,48.4,17.1,15.0,13.7,38.6,20.1,13.6,15.9,40.0,'03-04
27,28,Chicago Bulls,82,23,59,48.4,15.1,13.7,10.4,34.5,17.4,13.2,12.0,36.5,'03-04
28,29,Orlando Magic,82,21,61,48.4,14.9,14.1,10.8,33.5,16.7,15.4,14.1,44.8,'03-04
0,1,Phoenix Suns,82,62,20,48.2,16.4,14.1,18.5,43.2,15.9,17.4,12.0,43.2,'04-05
1,2,Miami Heat,82,59,23,48.7,14.9,12.6,11.6,43.5,14.9,12.9,11.6,34.1,'04-05
2,2,San Antonio Spurs,82,59,23,48.3,16.2,12.8,12.8,42.2,14.6,12.3,10.9,37.2,'04-05
3,4,Dallas Mavericks,82,58,24,48.1,18.1,13.6,14.7,38.6,15.0,14.6,13.7,39.8,'04-05
4,5,Detroit Pistons,82,54,28,48.7,15.6,14.1,12.6,36.4,14.5,12.1,12.3,35.0,'04-05
5,6,Seattle SuperSonics,82,52,30,48.2,15.7,15.7,9.8,36.9,15.4,13.6,12.1,39.8,'04-05
6,7,Houston Rockets,82,51,31,48.4,14.9,13.5,9.5,32.6,15.1,11.5,10.1,30.9,'04-05
7,8,Sacramento Kings,82,50,32,48.4,16.7,14.6,12.0,36.7,15.2,15.0,12.9,42.9,'04-05
8,9,Denver Nuggets,82,49,33,48.2,18.4,13.5,19.3,43.5,16.0,14.0,13.0,39.2,'04-05
9,10,Chicago Bulls,82,47,35,48.4,16.8,14.1,9.9,36.9,17.2,12.6,10.3,33.3,'04-05
10,11,Boston Celtics,82,45,37,48.5,17.7,12.5,14.8,43.5,17.7,15.0,12.4,39.5,'04-05
11,11,Memphis Grizzlies,82,45,37,48.1,17.8,12.1,11.2,40.2,15.7,14.1,12.4,34.4,'04-05
12,11,Washington Wizards,82,45,37,48.2,19.0,16.2,15.6,40.4,15.8,14.8,12.2,40.7,'04-05
13,14,Indiana Pacers,82,44,38,48.5,14.9,12.6,8.0,32.1,14.4,12.5,10.9,35.3,'04-05
14,14,Minnesota Timberwolves,82,44,38,48.2,13.0,13.0,11.1,33.1,15.2,13.7,11.6,38.6,'04-05
15,16,Philadelphia 76ers,82,43,39,48.4,17.9,11.7,14.9,39.9,17.4,13.4,10.1,35.0,'04-05
16,17,Cleveland Cavaliers,82,42,40,48.4,17.7,15.1,12.7,42.1,15.3,13.2,12.6,37.9,'04-05
17,17,New Jersey Nets,82,42,40,48.5,17.6,12.1,10.7,31.1,14.8,12.6,11.2,32.0,'04-05
18,19,Los Angeles Clippers,82,37,45,48.9,15.0,13.8,8.6,39.9,17.5,12.9,10.0,39.3,'04-05
19,20,Orlando Magic,82,36,46,48.1,16.7,13.8,18.1,39.7,17.9,14.1,14.7,40.9,'04-05
20,21,Golden State Warriors,82,34,48,48.5,16.3,14.0,13.7,37.5,15.7,15.0,13.0,43.0,'04-05
21,21,Los Angeles Lakers,82,34,48,48.2,13.4,13.8,11.9,38.7,16.9,14.7,13.0,39.8,'04-05
22,23,New York Knicks,82,33,49,48.5,15.8,14.7,9.2,37.4,16.6,13.5,12.4,40.0,'04-05
